,time,ssp_126,ssp_245,ssp_370,ssp_585
0,2015,2840.439453125,3022.161865234375,2787.67626953125,3037.145751953125
1,2016,2954.3095703125,2915.302001953125,2897.36865234375,2960.7041015625
2,2017,2808.748046875,2716.26171875,2924.72265625,2923.38525390625
3,2018,2911.158203125,2996.096435546875,3004.369384765625,2913.518310546875
4,2019,3036.514404296875,2823.474365234375,2883.788330078125,2940.512451171875
5,2020,2666.148681640625,2894.7265625,2951.14306640625,3002.677001953125
6,2021,2870.86572265625,2899.8251953125,2899.41748046875,3018.522705078125
7,2022,2984.8828125,2824.87109375,3112.035400390625,3151.400146484375
8,2023,3058.875244140625,3026.22216796875,2884.77197265625,2956.615234375
9,2024,3143.79638671875,2843.654541015625,3077.03173828125,3154.45947265625
10,2025,3022.677490234375,3024.33935546875,3026.175048828125,3120.01025390625
11,2026,2958.032470703125,2895.274658203125,2899.001953125,3066.28515625
12,2027,3033.00732421875,3024.59521484375,2841.065185546875,3079.53955078125
13,2028,3090.43798828125,2916.49853515625,3123.73388671875,3100.51806640625
14,2029,3063.751220703125,2994.765380859375,3066.59912109375,3112.353271484375
15,2030,2989.578369140625,3006.342529296875,3061.301025390625,3090.1767578125
16,2031,3093.061279296875,3227.885498046875,3116.783203125,3117.194580078125
17,2032,3059.455078125,3154.91943359375,3061.518798828125,3379.36474609375
18,2033,3046.946533203125,3139.70361328125,3017.75830078125,3066.144287109375
19,2034,3047.162109375,3058.86181640625,2929.07421875,3014.36865234375
20,2035,3062.83056640625,3135.780517578125,3065.578857421875,3148.11669921875
21,2036,3082.38427734375,3116.205810546875,3225.070556640625,3142.249755859375
22,2037,3036.24169921875,3071.921142578125,3185.28466796875,3356.5439453125
23,2038,3095.1767578125,3120.283203125,3160.106689453125,3282.296142578125
24,2039,3246.120361328125,2919.699951171875,3188.794921875,3194.0478515625
25,2040,3154.203125,3161.985595703125,3113.220458984375,3149.31689453125
26,2041,3135.820556640625,3103.207763671875,3122.271484375,3318.971435546875
27,2042,3157.571533203125,3151.489501953125,3125.430419921875,3342.83056640625
28,2043,3106.53515625,3107.980224609375,3286.572998046875,3269.219970703125
29,2044,3247.767822265625,3322.655517578125,3162.59130859375,3240.75341796875
30,2045,3126.359619140625,3205.97314453125,3206.081787109375,3507.06689453125
31,2046,3119.599853515625,3083.298095703125,3106.002197265625,3286.601806640625
32,2047,3241.623779296875,3254.45068359375,3220.041259765625,3279.318603515625
33,2048,3303.165771484375,3306.770263671875,3375.275634765625,3377.512451171875
34,2049,3225.6591796875,3175.869140625,3266.46484375,3373.8740234375
35,2050,3106.655517578125,3234.178466796875,3318.5048828125,3394.530029296875
36,2051,3209.64453125,3195.583984375,3200.166748046875,3478.641845703125
37,2052,3064.82861328125,3291.259033203125,3440.54345703125,3566.702880859375
38,2053,3264.0400390625,3320.1689453125,3426.2509765625,3544.5107421875
39,2054,3173.022216796875,3358.94921875,3264.733642578125,3428.37744140625
40,2055,3182.609375,3354.49853515625,3256.0322265625,3472.7490234375
41,2056,3207.66650390625,3261.035400390625,3404.886474609375,3566.837158203125
42,2057,3366.798828125,3427.59375,3461.684814453125,3546.624267578125
43,2058,3259.404541015625,3530.888671875,3456.1240234375,3627.852783203125
44,2059,3225.803466796875,3437.79541015625,3415.4970703125,3675.724365234375
45,2060,3122.530517578125,3429.9658203125,3407.42236328125,3648.484619140625
46,2061,3174.953369140625,3300.490234375,3438.3203125,3583.084716796875
