,time,ssp_126,ssp_245,ssp_370,ssp_585
0,2015,2541.412353515625,2717.677734375,2538.73779296875,2740.87158203125
1,2016,2644.63134765625,2571.14990234375,2631.38916015625,2640.965576171875
2,2017,2520.37109375,2421.219970703125,2630.66357421875,2633.537109375
3,2018,2650.6044921875,2690.76025390625,2680.329833984375,2630.22216796875
4,2019,2744.90673828125,2520.3232421875,2558.356689453125,2668.98876953125
5,2020,2454.565673828125,2587.812744140625,2684.326904296875,2730.706298828125
6,2021,2616.782958984375,2588.548583984375,2675.250732421875,2746.8232421875
7,2022,2659.63916015625,2536.86669921875,2769.606201171875,2885.12939453125
8,2023,2762.668212890625,2776.679443359375,2579.55517578125,2680.607177734375
9,2024,2857.782470703125,2584.282470703125,2794.915771484375,2799.273193359375
10,2025,2724.333251953125,2714.78076171875,2714.891845703125,2828.100341796875
11,2026,2653.02001953125,2611.57568359375,2641.450439453125,2773.979736328125
12,2027,2739.148193359375,2736.12939453125,2597.3466796875,2784.36181640625
13,2028,2802.96337890625,2638.661376953125,2863.722412109375,2822.6201171875
14,2029,2742.727783203125,2735.167236328125,2746.398193359375,2781.843994140625
15,2030,2712.07666015625,2722.612548828125,2797.717529296875,2803.1298828125
16,2031,2727.839599609375,2933.022705078125,2800.166748046875,2803.454345703125
17,2032,2794.64892578125,2840.06640625,2769.018798828125,3008.82080078125
18,2033,2796.1005859375,2818.526123046875,2765.69140625,2788.19384765625
19,2034,2750.076904296875,2769.108154296875,2669.165771484375,2740.38232421875
20,2035,2736.74658203125,2840.842041015625,2801.99365234375,2892.55712890625
21,2036,2762.06201171875,2822.6982421875,2952.134765625,2839.721435546875
22,2037,2759.9443359375,2789.8837890625,2907.93505859375,3053.903564453125
23,2038,2798.11083984375,2792.3017578125,2853.470947265625,2970.67578125
24,2039,2969.71875,2648.297119140625,2858.38720703125,2905.90625
25,2040,2903.66943359375,2846.77294921875,2828.00732421875,2866.4873046875
26,2041,2817.709228515625,2804.79833984375,2804.02880859375,2999.078369140625
27,2042,2815.761474609375,2850.645263671875,2794.12939453125,3048.697021484375
28,2043,2775.3095703125,2845.337646484375,2930.88671875,2961.625244140625
29,2044,2953.720947265625,3054.154541015625,2833.915283203125,2971.50341796875
30,2045,2829.897705078125,2914.61181640625,2958.67724609375,3177.19287109375
31,2046,2847.74267578125,2774.82763671875,2838.5009765625,2963.096435546875
32,2047,2884.781494140625,2986.605224609375,2983.1845703125,2970.077392578125
33,2048,2964.765869140625,3035.722412109375,3060.022705078125,3085.713623046875
34,2049,2928.92431640625,2897.795166015625,3012.044189453125,3028.760009765625
35,2050,2836.3818359375,2937.982177734375,3056.068359375,3061.743896484375
36,2051,2943.756103515625,2887.0,2947.9423828125,3156.4375
37,2052,2760.161376953125,2944.87255859375,3141.51123046875,3327.927734375
38,2053,2971.994140625,3019.784423828125,3095.44580078125,3249.111328125
39,2054,2879.165771484375,3077.064453125,2961.642578125,3121.23681640625
40,2055,2879.011474609375,3044.0732421875,2950.206298828125,3139.139404296875
41,2056,2916.456298828125,2936.01318359375,3106.754638671875,3203.587890625
42,2057,3076.0703125,3133.314697265625,3122.5888671875,3281.355712890625
43,2058,2962.036376953125,3271.2373046875,3161.170166015625,3287.031494140625
44,2059,2884.170654296875,3112.63134765625,3129.68603515625,3342.714599609375
45,2060,2843.36328125,3116.285400390625,3119.096923828125,3355.479248046875
46,2061,2835.656982421875,3003.665283203125,3120.568359375,3283.783447265625
47,2062,2808.27685546875,3037.729736328125,3227.443115234375,3230.221923828125
48,2063,2988.31640625,3167.177001953125,3205.683349609375,3454.158935546875
