,time,ssp_126,ssp_245,ssp_370,ssp_585
0,2015,2395.322998046875,2556.672119140625,2462.30712890625,2665.955078125
1,2016,2545.5556640625,2459.037109375,2571.1669921875,2566.718505859375
2,2017,2430.442626953125,2330.01025390625,2509.970703125,2561.131103515625
3,2018,2548.57275390625,2607.14990234375,2567.82177734375,2514.538818359375
4,2019,2652.257568359375,2412.5517578125,2467.97900390625,2552.320556640625
5,2020,2367.137939453125,2491.050048828125,2640.625732421875,2631.339599609375
6,2021,2502.507080078125,2486.862060546875,2563.761962890625,2642.58544921875
7,2022,2585.872314453125,2429.538818359375,2681.443603515625,2754.8896484375
8,2023,2689.46044921875,2705.139892578125,2477.403564453125,2594.7802734375
9,2024,2758.53125,2475.66748046875,2643.743896484375,2697.8173828125
10,2025,2619.716552734375,2635.576171875,2619.988525390625,2717.156982421875
11,2026,2537.680908203125,2527.08154296875,2571.130859375,2649.922119140625
12,2027,2642.137451171875,2626.69970703125,2489.248046875,2658.587890625
13,2028,2701.365478515625,2526.509033203125,2780.02099609375,2738.5458984375
14,2029,2629.176025390625,2634.27001953125,2648.688720703125,2676.5517578125
15,2030,2591.90380859375,2623.994140625,2677.8388671875,2706.61865234375
16,2031,2620.3740234375,2795.508544921875,2688.62255859375,2702.789306640625
17,2032,2622.0751953125,2723.675048828125,2679.94482421875,2916.508056640625
18,2033,2741.8251953125,2678.937255859375,2626.4794921875,2705.184326171875
19,2034,2630.31591796875,2626.313232421875,2569.26318359375,2651.43701171875
20,2035,2619.06884765625,2732.46533203125,2677.508544921875,2793.86767578125
21,2036,2643.21337890625,2724.6279296875,2846.267578125,2743.2197265625
22,2037,2656.94287109375,2674.228759765625,2786.728515625,2918.638671875
23,2038,2686.117919921875,2687.631103515625,2763.138427734375,2888.33544921875
24,2039,2836.948974609375,2523.664794921875,2748.629150390625,2785.951904296875
25,2040,2770.073974609375,2740.099853515625,2721.566650390625,2762.33740234375
26,2041,2690.61962890625,2695.014404296875,2728.949951171875,2900.208251953125
27,2042,2689.263427734375,2737.412841796875,2696.98046875,2949.132080078125
28,2043,2617.873779296875,2760.560546875,2808.847900390625,2799.923583984375
29,2044,2824.184326171875,2948.919677734375,2759.054443359375,2856.9658203125
30,2045,2701.74462890625,2797.16162109375,2872.88037109375,3040.96630859375
31,2046,2738.62744140625,2668.4365234375,2735.400390625,2818.704833984375
32,2047,2750.153076171875,2864.022705078125,2891.41259765625,2894.75732421875
33,2048,2840.30712890625,2918.803466796875,2949.888427734375,2985.017822265625
34,2049,2808.80859375,2779.59814453125,2906.03759765625,2927.287841796875
35,2050,2731.606201171875,2839.399169921875,2926.368408203125,2990.819091796875
36,2051,2846.02197265625,2794.07470703125,2843.725341796875,3079.9814453125
37,2052,2640.179931640625,2846.0361328125,3059.513671875,3198.953369140625
38,2053,2873.34716796875,2899.39990234375,2959.785400390625,3140.623046875
39,2054,2729.792724609375,2992.677978515625,2867.017578125,2966.58984375
40,2055,2762.142333984375,2902.98876953125,2824.905517578125,3060.59033203125
41,2056,2778.0478515625,2780.727294921875,3009.020751953125,3101.29931640625
42,2057,2964.13427734375,3039.725341796875,3040.10595703125,3155.486328125
43,2058,2861.38330078125,3123.472900390625,3038.254150390625,3164.712646484375
44,2059,2769.461181640625,2972.238525390625,3026.400390625,3252.92724609375
45,2060,2729.572265625,2990.126953125,2988.9521484375,3287.01123046875
46,2061,2740.982177734375,2858.27587890625,2995.493408203125,3181.89892578125
47,2062,2698.375,2936.732666015625,3108.467529296875,3127.281005859375
48,2063,2874.2333984375,3060.11279296875,3095.766357421875,3340.28466796875
49,2064,2781.28515625,2984.169921875,3132.774658203125,3312.923095703125
50,2065,2812.279541015625,3000.337890625,3088.0625,3329.924072265625
51,2066,2665.123779296875,2963.317626953125,3135.0107421875,3186.880126953125
52,2067,2724.681640625,2994.75537109375,3006.810546875,3374.53125
53,2068,2831.509521484375,2884.6884765625,3167.659423828125,3424.13671875
54,2069,2856.901123046875,3007.743896484375,3282.560302734375,3401.72265625
55,2070,2850.46533203125,3057.405517578125,3348.695556640625,3386.240966796875
56,2071,2786.9365234375,2991.44384765625,3174.663330078125,3449.631591796875
57,2072,2900.54296875,3035.816650390625,3255.71630859375,3561.97119140625
58,2073,2670.781005859375,2973.363525390625,3246.072265625,3522.9052734375
59,2074,2804.193359375,2943.929931640625,3205.6083984375,3454.562744140625
60,2075,2912.41015625,3070.08349609375,3209.888671875,3645.03466796875
61,2076,2731.940673828125,2967.533203125,3362.446044921875,3365.132080078125
62,2077,2785.552978515625,2933.62109375,3319.60205078125,3705.15234375
63,2078,2856.31494140625,2951.609375,3283.07177734375,3503.350830078125
64,2079,2911.01318359375,3024.850830078125,3397.291015625,3694.685791015625
65,2080,2829.134765625,3234.461669921875,3337.99365234375,3741.626220703125
66,2081,2744.650146484375,3027.947998046875,3437.77294921875,3782.779052734375
67,2082,2806.362548828125,3133.993896484375,3411.99560546875,3829.191650390625
68,2083,2859.8896484375,3037.585205078125,3328.50830078125,3617.557373046875
69,2084,2806.34619140625,2903.991943359375,3512.2861328125,3557.454833984375
70,2085,2800.18310546875,3092.431396484375,3445.064453125,3651.91259765625
71,2086,2768.59130859375,3060.22216796875,3408.1826171875,3737.030029296875
72,2087,2770.292724609375,3184.970703125,3425.2705078125,3780.090576171875
73,2088,2875.898681640625,3070.7685546875,3532.94677734375,3729.505126953125
74,2089,2782.444091796875,3138.86865234375,3498.747802734375,3750.03662109375
75,2090,2789.05908203125,3252.030517578125,3582.3564453125,3715.594482421875
76,2091,2672.697509765625,3246.451904296875,3633.5908203125,3789.46240234375
77,2092,2713.334716796875,3134.4521484375,3500.33154296875,3824.7353515625
78,2093,2890.31494140625,3271.30322265625,3628.709716796875,3762.7919921875
79,2094,2751.263427734375,3390.589599609375,3543.150146484375,3809.764404296875
80,2095,2791.0361328125,3213.189208984375,3480.886474609375,3934.5439453125
