,year,ssp_126,ssp_245,ssp_370,ssp_585
0,2016/12/31,583.4619737,576.0957927,674.4963077,634.3007952
1,2017/12/31,670.4789592,707.9204429,631.0654853,600.8965078
2,2018/12/31,676.6447485,587.2959306,645.0099002,651.8646843
3,2019/12/31,706.8005324,666.9399662,655.9510986,686.3359929
4,2020/12/31,703.8880078,631.0099573,572.5155552,680.8219695
5,2021/12/31,681.2655626,673.9224991,689.4368424,632.9000896
6,2022/12/31,628.0541232,725.1552368,644.4919065,668.3606344
7,2023/12/31,609.3016592,655.3584748,669.6914137,729.8637599
8,2024/12/31,584.3298284,693.3243196,700.0244512,619.1945943
9,2025/12/31,665.1297415,711.4058009,649.3091337,728.8754989
10,2026/12/31,776.4272112,810.8425903,713.1208593,651.3678577
11,2027/12/31,669.512267,657.4332032,682.6578357,629.3440022
12,2028/12/31,627.7587577,735.555037,596.9830449,636.7151165
13,2029/12/31,710.9596838,716.6596229,664.5212279,661.5044162
14,2030/12/31,684.1881258,672.9405482,631.0996167,714.7483234
15,2031/12/31,685.7796229,638.9948053,550.3146755,699.081737
16,2032/12/31,784.2154739,634.0516648,649.5316473,569.4550898
17,2033/12/31,693.0166783,672.0225577,720.5175578,686.4631108
18,2034/12/31,686.4125161,720.9690671,715.9861736,750.8130795
19,2035/12/31,729.5184307,659.4307776,712.4349622,684.7272867
20,2036/12/31,720.2412371,704.2955192,699.288533,741.2565823
21,2037/12/31,731.8616784,695.8431574,670.2380319,722.6305478
22,2038/12/31,690.9941508,697.6252166,622.5906944,668.7306873
23,2039/12/31,724.7668275,741.4408343,664.7106427,800.5890099
24,2040/12/31,732.4805175,672.1072838,692.6399712,664.8132663
25,2041/12/31,625.8870966,668.1746614,685.7679207,728.0865193
26,2042/12/31,751.1312757,721.6636261,661.7579062,666.6582533
27,2043/12/31,690.4684129,722.2801133,659.5606489,729.9182554
28,2044/12/31,710.1874544,676.4948573,671.4835115,763.7875325
29,2045/12/31,739.6671503,721.7700931,676.2063755,660.3398194
30,2046/12/31,697.3714398,761.5408278,725.9929182,812.5216817
31,2047/12/31,664.0665636,727.4967636,687.0830971,764.1448507
32,2048/12/31,778.6255583,762.6022848,723.4572154,680.1593619
33,2049/12/31,806.1863254,701.1866962,658.9960185,751.1559421
34,2050/12/31,727.1715691,736.5769131,673.6797362,719.5494315
35,2051/12/31,758.5342268,686.2634279,706.5999891,662.8292871
36,2052/12/31,824.1495803,656.9719421,684.2589125,708.4742316
37,2053/12/31,634.4976672,726.5317923,635.5640001,706.7246976
38,2054/12/31,727.252796,691.1855159,713.8428382,736.8748599
39,2055/12/31,737.8794695,776.336634,738.8633135,700.5835174
40,2056/12/31,786.9090988,764.8288548,694.8234038,652.1121511
41,2057/12/31,725.4091857,685.9631866,640.716231,719.9410531
42,2058/12/31,747.7134921,642.6691765,710.4434683,828.5485691
43,2059/12/31,670.4677159,783.4598226,723.879125,673.8121888
44,2060/12/31,749.5502761,755.6782054,748.5211723,701.4916413
45,2061/12/31,756.5318912,746.4444361,731.3787912,754.4313491
46,2062/12/31,720.5649402,747.2180422,698.4838931,905.7374405
47,2063/12/31,750.5935488,717.1735438,840.6922817,748.6239106
48,2064/12/31,763.9853797,751.4141359,722.5764539,815.1981548
49,2065/12/31,717.1146887,775.1115759,615.6778584,788.9739034
50,2066/12/31,703.0283561,695.1415426,731.2253435,762.7826361
51,2067/12/31,693.3690632,788.3961367,849.7022181,695.0437376
52,2068/12/31,746.2040824,720.1679263,771.844085,763.5512516
53,2069/12/31,724.6818146,713.4986563,685.7429102,742.9944714
54,2070/12/31,667.6658458,786.3498032,705.950231,737.0558422
55,2071/12/31,782.5607047,857.4957583,631.6330986,701.7482289
56,2072/12/31,717.9772086,766.5544681,633.1385503,788.8420244
57,2073/12/31,708.7054645,784.0670168,659.2588014,756.7817673
58,2074/12/31,640.7996378,665.8369779,687.7125484,746.002908
59,2075/12/31,716.9113346,776.0491847,731.6488019,737.3234436
60,2076/12/31,793.0860166,874.4707522,762.9492775,836.4888456
61,2077/12/31,766.6984509,726.8799896,765.3469633,719.5289526
62,2078/12/31,728.5782979,744.6192394,707.869504,854.0367876
63,2079/12/31,702.2505624,774.2644869,751.9349404,723.428763
64,2080/12/31,723.8401751,711.566247,645.9123452,653.3331937
65,2081/12/31,859.6577369,756.853644,750.9586111,694.6313503
66,2082/12/31,710.4621115,600.2006867,872.6097033,835.6414697
67,2083/12/31,706.7392106,775.1008489,713.4021707,786.5778237
68,2084/12/31,718.0106516,808.4422083,702.8888477,866.3292441
69,2085/12/31,665.9992023,809.9179456,737.0982339,775.7282925
70,2086/12/31,767.3806768,767.5814496,756.2465071,751.1345454
71,2087/12/31,790.754299,773.0214739,764.5934918,791.1538942
72,2088/12/31,845.8008589,811.8628601,812.8473351,701.0212594
73,2089/12/31,706.4155649,673.1802709,805.3928714,835.3729505
74,2090/12/31,788.2446967,643.678662,612.5074842,857.0118959
75,2091/12/31,725.8111328,788.2444099,772.7520369,847.8619922
76,2092/12/31,777.0254567,754.3565469,854.5231166,810.0085802
77,2093/12/31,739.5443921,679.9236547,720.1528397,785.5328875
78,2094/12/31,700.000588,767.764497,841.7828794,800.461089
79,2095/12/31,686.7889937,806.1212177,757.9765948,813.3844883
80,2096/12/31,735.6833595,778.3260627,798.7844069,787.9102092
81,2097/12/31,785.2955741,920.7302909,772.5704235,848.7564063
82,2098/12/31,908.8744865,879.0262291,772.6428165,834.690323
83,2099/12/31,737.119688,771.0614154,735.0787467,781.6750673
