,year,ssp_126,ssp_245,ssp_370,ssp_585,,ssp_126,ssp_245,ssp_370,ssp_585
0,2016/12/31,277.31088,276.84888,276.75378,277.00244,,4.16088,3.69888,3.60378,3.85244
1,2017/12/31,276.69363,276.40463,277.0491,276.69986,,3.54363,3.25463,3.8991,3.54986
2,2018/12/31,277.14685,277.2085,277.34918,277.31903,,3.99685,4.0585,4.19918,4.16903
3,2019/12/31,276.644,276.83246,276.65308,276.47827,,3.494,3.68246,3.50308,3.32827
4,2020/12/31,276.13437,276.36887,277.19077,277.18344,,2.98437,3.21887,4.04077,4.03344
5,2021/12/31,276.88452,276.4589,277.0022,277.61606,,3.73452,3.3089,3.8522,4.46606
6,2022/12/31,277.46198,276.6969,277.8388,277.9295,,4.31198,3.5469,4.6888,4.7795
7,2023/12/31,277.3511,277.893,277.04422,277.1785,,4.2011,4.743,3.89422,4.0285
8,2024/12/31,277.3588,276.89877,277.41278,277.46808,,4.2088,3.74877,4.26278,4.31808
9,2025/12/31,277.13058,277.3609,277.19006,277.94156,,3.98058,4.2109,4.04006,4.79156
10,2026/12/31,277.5121,277.15326,277.01022,277.31058,,4.3621,4.00326,3.86022,4.16058
11,2027/12/31,276.86334,277.53458,276.87747,276.8637,,3.71334,4.38458,3.72747,3.7137
12,2028/12/31,277.5084,277.60153,277.70303,277.56198,,4.3584,4.45153,4.55303,4.41198
13,2029/12/31,277.9737,277.40323,277.21307,277.47934,,4.8237,4.25323,4.06307,4.32934
14,2030/12/31,277.75967,277.43088,277.66815,277.57385,,4.60967,4.28088,4.51815,4.42385
15,2031/12/31,277.6586,277.98312,277.881,277.9437,,4.5086,4.83312,4.731,4.7937
16,2032/12/31,277.73566,277.63788,277.447,278.41757,,4.58566,4.48788,4.297,5.26757
17,2033/12/31,277.88068,278.32343,277.43216,277.48898,,4.73068,5.17343,4.28216,4.33898
18,2034/12/31,277.7605,278.21338,277.53183,278.0107,,4.6105,5.06338,4.38183,4.8607
19,2035/12/31,277.1088,277.72165,277.55972,278.25446,,3.9588,4.57165,4.40972,5.10446
20,2036/12/31,277.85034,278.01242,278.31903,278.28372,,4.70034,4.86242,5.16903,5.13372
21,2037/12/31,277.77975,277.74017,277.8611,279.2823,,4.62975,4.59017,4.7111,6.1323
22,2038/12/31,278.0696,277.8122,277.83386,278.7973,,4.9196,4.6622,4.68386,5.6473
23,2039/12/31,278.37262,277.5232,277.94562,278.44382,,5.22262,4.3732,4.79562,5.29382
24,2040/12/31,277.86172,277.98056,277.88626,278.2371,,4.71172,4.83056,4.73626,5.0871
25,2041/12/31,277.85553,277.66412,277.90167,278.93845,,4.70553,4.51412,4.75167,5.78845
26,2042/12/31,278.2225,278.23334,277.97034,278.81165,,5.0725,5.08334,4.82034,5.66165
27,2043/12/31,278.1856,278.44638,278.65698,278.7065,,5.0356,5.29638,5.50698,5.5565
28,2044/12/31,278.03354,278.86566,278.48712,279.2424,,4.88354,5.71566,5.33712,6.0924
29,2045/12/31,277.75256,277.84274,278.43726,279.19217,,4.60256,4.69274,5.28726,6.04217
30,2046/12/31,278.03595,278.2106,277.99298,278.58084,,4.88595,5.0606,4.84298,5.43084
31,2047/12/31,277.89133,278.25903,278.3583,278.9749,,4.74133,5.10903,5.2083,5.8249
32,2048/12/31,278.76706,278.48898,278.9015,279.46976,,5.61706,5.33898,5.7515,6.31976
33,2049/12/31,278.19003,278.43365,278.8442,279.1438,,5.04003,5.28365,5.6942,5.9938
34,2050/12/31,278.1611,278.36594,278.64743,279.358,,5.0111,5.21594,5.49743,6.208
35,2051/12/31,278.3773,278.21014,278.71823,279.45416,,5.2273,5.06014,5.56823,6.30416
36,2052/12/31,278.214,278.32092,279.04953,279.77664,,5.064,5.17092,5.89953,6.62664
37,2053/12/31,278.3381,279.01355,279.06973,279.31082,,5.1881,5.86355,5.91973,6.16082
38,2054/12/31,278.71835,278.91592,278.47244,279.5806,,5.56835,5.76592,5.32244,6.4306
39,2055/12/31,278.39044,279.27634,279.27692,280.08234,,5.24044,6.12634,6.12692,6.93234
40,2056/12/31,278.29956,279.1835,279.5838,279.8973,,5.14956,6.0335,6.4338,6.7473
41,2057/12/31,279.08218,279.78497,279.19885,280.17084,,5.93218,6.63497,6.04885,7.02084
42,2058/12/31,278.42017,279.419,279.3558,280.27274,,5.27017,6.269,6.2058,7.12274
43,2059/12/31,278.69897,279.2252,279.56262,280.3201,,5.54897,6.0752,6.41262,7.1701
44,2060/12/31,278.28177,279.61588,279.4904,280.29745,,5.13177,6.46588,6.3404,7.14745
45,2061/12/31,277.676,278.81192,279.5339,280.0647,,4.526,5.66192,6.3839,6.9147
46,2062/12/31,278.2185,279.30878,279.8281,280.01923,,5.0685,6.15878,6.6781,6.86923
47,2063/12/31,278.6029,279.46814,280.15295,280.68607,,5.4529,6.31814,7.00295,7.53607
48,2064/12/31,278.13467,279.0106,280.02576,280.8249,,4.98467,5.8606,6.87576,7.6749
49,2065/12/31,278.31973,279.01004,280.45154,280.65268,,5.16973,5.86004,7.30154,7.50268
50,2066/12/31,278.25394,279.21805,280.56888,280.72244,,5.10394,6.06805,7.41888,7.57244
51,2067/12/31,278.19907,279.24612,280.20035,280.85345,,5.04907,6.09612,7.05035,7.70345
52,2068/12/31,278.28705,279.26306,280.17065,281.3908,,5.13705,6.11306,7.02065,8.2408
53,2069/12/31,278.9005,279.77023,280.63766,281.21933,,5.7505,6.62023,7.48766,8.06933
54,2070/12/31,278.57233,279.4517,280.35492,281.4218,,5.42233,6.3017,7.20492,8.2718
55,2071/12/31,277.9106,279.4772,280.39795,281.27863,,4.7606,6.3272,7.24795,8.12863
56,2072/12/31,278.82608,279.49698,280.8887,281.95038,,5.67608,6.34698,7.7387,8.80038
57,2073/12/31,278.46243,279.08102,280.41898,281.9396,,5.31243,5.93102,7.26898,8.7896
58,2074/12/31,278.10312,279.14243,280.58926,281.29007,,4.95312,5.99243,7.43926,8.14007
59,2075/12/31,278.6729,279.3196,281.4597,282.5709,,5.5229,6.1696,8.3097,9.4209
60,2076/12/31,278.1901,279.44174,281.2852,281.16232,,5.0401,6.29174,8.1352,8.01232
61,2077/12/31,278.2983,279.41437,281.3698,281.975,,5.1483,6.26437,8.2198,8.825
62,2078/12/31,278.06683,279.54193,280.60248,281.75342,,4.91683,6.39193,7.45248,8.60342
63,2079/12/31,278.70184,279.64758,280.99,282.17825,,5.55184,6.49758,7.84,9.02825
64,2080/12/31,278.7396,280.15073,280.8077,282.42847,,5.5896,7.00073,7.6577,9.27847
65,2081/12/31,278.10486,279.61154,281.0845,282.3724,,4.95486,6.46154,7.9345,9.2224
66,2082/12/31,278.52725,279.84924,280.95685,282.89114,,5.37725,6.69924,7.80685,9.74114
67,2083/12/31,278.71387,279.64557,281.15747,282.7243,,5.56387,6.49557,8.00747,9.5743
68,2084/12/31,278.83728,279.43872,281.79495,282.6625,,5.68728,6.28872,8.64495,9.5125
69,2085/12/31,278.57257,279.67114,281.7607,282.47864,,5.42257,6.52114,8.6107,9.32864
70,2086/12/31,278.29694,279.87674,281.95554,282.95734,,5.14694,6.72674,8.80554,9.80734
71,2087/12/31,278.40164,280.4677,281.75717,282.72928,,5.25164,7.3177,8.60717,9.57928
72,2088/12/31,278.93323,279.4582,282.0634,282.9416,,5.78323,6.3082,8.9134,9.7916
73,2089/12/31,278.56454,279.985,281.84106,283.18433,,5.41454,6.835,8.69106,10.03433
74,2090/12/31,278.46143,280.2271,281.99844,283.04697,,5.31143,7.0771,8.84844,9.89697
75,2091/12/31,278.28876,280.04993,282.09106,283.0824,,5.13876,6.89993,8.94106,9.9324
76,2092/12/31,278.18448,280.32224,282.22876,283.47934,,5.03448,7.17224,9.07876,10.32934
77,2093/12/31,278.7127,280.05286,282.48407,283.39334,,5.5627,6.90286,9.33407,10.24334
78,2094/12/31,278.37024,280.57028,282.24777,283.46844,,5.22024,7.42028,9.09777,10.31844
79,2095/12/31,278.58023,279.9723,282.26614,283.5991,,5.43023,6.8223,9.11614,10.4491
80,2096/12/31,278.73755,280.34045,282.55783,283.50937,,5.58755,7.19045,9.40783,10.35937
