,time,ssp_126,ssp_245,ssp_370,ssp_585
0,2016,0,0,0,0
1,2017,35.05563998,21.33399762,-0.278550801,-0.90665683
2,2018,27.95015861,-2.303737122,-9.157243379,-8.230673902
3,2019,22.05259444,11.45959488,6.872777149,-0.878154197
4,2020,31.60220195,10.34511427,-26.59752413,1.944545995
5,2021,30.16195543,0.124979331,11.76932121,-11.33704763
6,2022,22.70485539,15.68969468,5.067311394,-4.030423816
7,2023,12.1795682,4.50625288,-2.374138636,7.780108241
8,2024,2.771140126,23.45903416,0.008603419,-23.47020434
9,2025,20.65119097,22.68485935,-17.12250699,-11.66789542
10,2026,37.70405526,31.19531288,5.793262406,-11.85523133
11,2027,24.92209703,9.998654786,4.19177282,-11.38150873
12,2028,19.90225754,15.73718919,-13.07869906,-1.25964296
13,2029,27.11953504,7.19760604,-6.451599732,6.690611276
14,2030,28.31886057,15.08622612,-18.5070303,6.284894861
15,2031,22.47978435,-0.293924376,-16.80572707,7.58827667
16,2032,35.86691531,-7.63132196,-0.058485769,-41.15081515
17,2033,23.05250344,-1.371829351,-1.171484152,10.07944006
18,2034,34.22455161,22.78515104,4.819355449,11.34661237
19,2035,33.07946275,-0.368165233,10.16412879,6.436144373
20,2036,28.51657532,1.34268507,6.792922426,-1.745046413
21,2037,42.9941435,19.6650058,-12.17189258,-2.994929754
22,2038,33.30191566,18.71634406,-12.02794574,5.340661055
23,2039,15.41861054,21.96095228,0.18183981,9.675220245
24,2040,30.14664887,6.286341843,6.153752811,1.14030468
25,2041,9.750823448,14.36736299,5.308184113,-16.7737526
26,2042,13.01918685,17.21497178,-3.921617633,-9.899618956
27,2043,19.48192205,14.49351478,-10.56627877,-9.38414737
28,2044,25.91694905,-17.6680635,-11.4505698,16.50279709
29,2045,25.44420597,-13.73193479,-3.892603585,-7.982752854
30,2046,21.92010959,22.26542782,9.814830829,6.391305546
31,2047,-0.901459779,22.34304403,-5.337026875,10.43144179
32,2048,24.84277009,20.1505519,-1.396505319,-17.7242202
33,2049,16.15113675,-4.381231636,-10.86113258,-2.022342939
34,2050,31.92425052,28.13614617,-4.321568908,-2.689187163
35,2051,36.04745202,11.01530914,-5.842249972,-6.548832649
36,2052,32.23257715,4.565667962,-7.032998035,-26.26433049
37,2053,4.488188674,2.495733136,-22.50170638,-0.400603674
38,2054,30.72008721,-1.162719682,-6.541606423,-0.195380223
39,2055,29.82492999,5.902670326,-0.543785153,-16.06087067
40,2056,22.85522406,13.04651983,-9.499870961,-29.94983137
41,2057,20.13180536,-8.89469667,-20.85707308,-8.672167363
42,2058,39.54986502,-31.35918563,-5.207807653,2.26419632
43,2059,3.663036421,12.59893837,1.514799405,-19.53403242
44,2060,26.87063917,-1.329614832,5.858992783,-20.66791665
45,2061,38.74654509,11.75369088,-7.173806212,-6.99613346
46,2062,22.13211225,20.86155205,-19.89007236,5.946403686
47,2063,41.26904973,10.74334083,-3.083905798,-29.99103849
48,2064,33.55223227,22.04007485,-7.552781666,1.056897648
49,2065,10.4665971,18.70349997,-22.09047266,-7.806607299
50,2066,10.98881435,-12.85043477,-18.78440965,-21.20840782
51,2067,17.31350123,15.30859966,-8.140951823,-38.3058559
52,2068,24.53170435,3.534167406,-7.40930994,-21.94600087
53,2069,21.15123879,11.57424678,-22.28461452,-16.11113055
54,2070,-18.50722082,20.4306427,-22.19159285,-28.51714471
55,2071,31.63457337,26.46699905,-22.42456398,-33.54957271
56,2072,30.45722128,-15.19595659,-41.63935125,-29.94304109
57,2073,21.26347434,18.96410498,-42.20581918,-16.7806671
58,2074,1.098715063,0.177258368,-26.64226423,-13.07735819
59,2075,31.03880877,3.937646794,-9.625230153,-33.40780849
60,2076,33.8772238,23.23960843,-14.14799857,-10.66581969
61,2077,30.96068083,12.56595126,-31.92447515,-48.58679322
62,2078,14.81936404,0.851794665,-22.87525577,-4.285367628
63,2079,7.867904893,18.32552959,-12.79019287,-48.14057786
64,2080,29.16778738,-10.16242461,-33.65669365,-54.05153941
65,2081,26.13359872,3.678523985,-37.08905844,-42.38667456
66,2082,19.49175847,-19.70962074,-9.078329548,-22.28668689
67,2083,15.66436564,9.266731228,-16.34790522,-36.5784252
68,2084,15.10372392,13.86382891,-23.91601154,-27.28828462
69,2085,26.92547982,22.98167749,-28.04326691,-32.8275159
70,2086,29.0432782,0.098666714,-20.16580355,-26.30852009
71,2087,25.59433176,4.124489593,-16.48620848,-24.11566185
72,2088,43.27350638,18.59615683,-15.2501697,-36.80761594
73,2089,24.4063538,-19.45709614,-18.54819114,-30.51081587
74,2090,17.7859839,-26.77961948,-58.40902667,-20.94992224
75,2091,42.12328906,4.767240346,-33.24008696,-30.30355506
76,2092,38.09536684,-5.651304959,-27.27087235,-31.19273777
77,2093,37.13433204,-9.703538201,-22.47465413,-27.23730912
78,2094,0.482326059,4.715512208,-23.46841034,-28.98332047
79,2095,-2.585718262,-7.455062293,-10.66274353,-40.45746869
80,2096,9.986867064,2.040800497,-40.21205292,-28.33965213
81,2097,25.04353637,21.26795986,-34.81657335,-15.56355676
82,2098,39.82214476,19.74713334,-21.77121803,-28.12540352
83,2099,29.30228301,21.6500454,-28.67354525,-27.30819623
