,time,ssp_126,ssp_245,ssp_370,ssp_585
0,2016,0,0,0,0
1,2017,18.27425144,10.23783938,-0.891859015,3.88651152
2,2018,18.9270067,1.48079198,-3.156256581,-0.03887272
3,2019,15.49171315,7.314402279,1.160261666,11.98061782
4,2020,18.60123732,5.996473061,-24.78082714,12.09604918
5,2021,20.44689807,1.018696272,7.924279556,1.17092454
6,2022,11.71991479,5.000055327,10.78791761,9.967681305
7,2023,5.882831413,7.7799635,-0.615541585,14.18219909
8,2024,4.614053328,19.79853165,2.647018331,-7.727680243
9,2025,15.78963765,23.07335074,-9.497609224,3.146175862
10,2026,24.54867151,18.8013994,4.258722533,6.073196067
11,2027,15.67112149,8.166381531,4.796634147,3.858924497
12,2028,19.54740949,10.84292589,-4.143908823,5.650276709
13,2029,15.39246033,7.919071747,0.539587322,14.2216752
14,2030,20.27157497,16.24855593,-7.316422775,16.76984459
15,2031,13.74362795,6.897582241,-9.915859032,17.60192047
16,2032,29.22493185,8.124687523,3.733608249,-13.99463405
17,2033,18.20125333,7.31751969,4.114675503,12.94572021
18,2034,19.6480253,22.28912484,8.06171538,12.88394327
19,2035,22.11559062,13.22438319,13.29894891,12.96507742
20,2036,23.01042569,12.63221672,15.63363022,2.294340634
21,2037,28.89073436,23.17027082,-1.25362226,20.33876849
22,2038,23.13851248,22.06640744,-4.967618332,19.34837664
23,2039,20.54481784,23.65600397,5.048827273,19.88634956
24,2040,24.28052559,12.1713124,11.26465115,14.99276099
25,2041,7.570899191,18.81634403,6.238459213,1.419195641
26,2042,14.82541889,13.29682018,0.650223818,11.26544577
27,2043,12.2013821,14.56692372,-0.763119316,2.819958101
28,2044,24.71627127,5.125744623,-3.1026945,31.69055735
29,2045,23.66125656,3.805142269,4.441710728,8.15624704
30,2046,17.60227567,26.0916737,12.71555036,21.73677951
31,2047,12.18618023,30.16115251,5.769322257,25.25012201
32,2048,25.43247969,26.46720611,14.01599786,2.259219364
33,2049,11.76095684,8.167476073,9.280657097,13.75393101
34,2050,22.27708337,30.4980507,7.375847222,13.9957513
35,2051,29.41656398,15.10977503,4.904315122,9.980526615
36,2052,23.87871401,12.00881171,9.677075857,2.969627912
37,2053,7.243647144,11.66878068,-3.354792122,17.17166329
38,2054,24.61859962,16.80698297,2.905927491,17.90101904
39,2055,26.69560346,21.5227409,9.568824458,0.25191691
40,2056,22.40832113,14.71321676,5.932738071,0.164691353
41,2057,25.50700186,11.35979868,-4.929958837,12.36731776
42,2058,33.35962106,5.525005045,13.94459144,26.23779473
43,2059,11.80896563,26.20050884,17.92173776,5.902778509
44,2060,25.32019291,11.40908738,18.30564708,1.067398334
45,2061,28.64061314,19.1717086,7.684726431,3.984899406
46,2062,17.84820115,24.92623846,3.273290416,27.12553849
47,2063,43.38251824,26.14331016,6.911422622,-4.362891117
48,2064,26.90958205,31.71007304,11.37242961,20.8109988
49,2065,16.18555446,35.04018777,-4.707285161,15.12979669
50,2066,16.8875072,5.556855174,2.294184303,4.538564605
51,2067,17.53823543,23.03182394,3.276291006,-11.19548565
52,2068,28.69444531,16.36246543,13.5001901,-0.589688726
53,2069,18.24366702,23.80752309,-0.215634955,8.573984391
54,2070,0.019168048,31.02760107,-1.178944817,-0.207533776
55,2071,26.47804074,36.82959745,-6.023949812,-1.588428965
56,2072,28.16992727,12.2682084,-15.14192011,-6.025191434
57,2073,20.19493165,28.45665677,-11.16662606,7.60695257
58,2074,6.606305557,16.63388607,-2.929295678,5.276274791
59,2075,23.20374426,24.14981985,5.769217952,-12.63029523
60,2076,24.28279886,30.14848296,3.994940881,6.742911461
61,2077,26.68248541,20.22435282,-7.766053661,-23.84372947
62,2078,20.06840629,11.70811569,-1.641681164,11.14645688
63,2079,12.36156048,30.00738225,9.34080566,-16.22154342
64,2080,27.93815408,14.95138697,-5.463783116,-32.80711935
65,2081,29.93508872,19.63010241,-21.52931707,-17.56505749
66,2082,21.6845065,5.317215098,5.856718085,-5.945020324
67,2083,28.50727374,31.44588203,-0.064739358,-13.1835399
68,2084,15.84851,23.11238449,-9.93342477,-3.69565177
69,2085,20.51944808,33.15315736,-9.078958165,-7.629762742
70,2086,29.80057602,14.43467768,0.216499887,-7.383736753
71,2087,26.11736174,18.34976767,-4.081423092,-10.81152225
72,2088,44.30225165,26.42692036,-1.16600293,-10.62279813
73,2089,22.88798265,6.417267556,5.328873784,-16.22256999
74,2090,22.5687688,3.151055086,-45.95538196,-2.16571926
75,2091,27.27251124,24.64710806,-26.98795041,-2.405437739
76,2092,31.93234177,22.6547437,-10.04695408,-8.416480489
77,2093,36.12635707,10.51571574,-11.4228308,-8.847338987
78,2094,7.219501993,17.43827147,-4.425072567,-7.960326781
79,2095,10.664972,7.426434644,-0.915219263,-13.8520413
80,2096,16.61755045,24.35432625,-21.22330342,-13.93109989
81,2097,32.74258107,32.71797321,-19.09684367,-0.981490436
82,2098,37.78864918,37.17923938,-12.89084972,-6.42109486
83,2099,24.31120771,34.64582428,-13.38792882,-14.26305813
