,time,ssp_126,ssp_245,ssp_370,ssp_585
0,2016,0,0,0,0
1,2017,8.323773614,-4.228377266,-0.322848934,6.061883201
2,2018,12.30836761,-2.636468015,-5.497992445,-3.712796437
3,2019,14.91779186,-4.832357852,-1.883038513,4.192646908
4,2020,7.11373759,-3.121600463,-19.31203177,11.55400663
5,2021,10.44032213,-4.872496072,4.884020517,5.472379757
6,2022,12.97840032,-1.83924983,6.060081669,4.011502097
7,2023,5.210227134,0.637805461,-4.352445247,10.48972498
8,2024,-0.346253458,2.790650033,2.705036569,-10.57982759
9,2025,13.96840339,8.093968304,-4.080144307,6.290198063
10,2026,11.22924747,6.745465751,2.565342489,7.449715888
11,2027,12.98318373,3.918892389,-0.801297203,5.297943965
12,2028,14.85346789,1.226491324,-8.750571888,1.241996414
13,2029,16.41421841,-0.219051445,2.19542239,8.110750252
14,2030,12.63119155,3.813181171,-9.975084851,13.73131341
15,2031,9.586146207,-1.092677873,-7.090310119,11.06544147
16,2032,15.56442431,2.444710656,2.58954178,-19.16989456
17,2033,10.23868761,2.238446054,-1.081998273,13.12442237
18,2034,13.74081651,10.33751877,1.723106128,11.4294913
19,2035,15.83947626,3.037325137,1.538904216,8.684279602
20,2036,18.59498417,3.075532074,10.76842069,3.675111146
21,2037,20.53237607,7.711219981,-2.743756582,10.93814608
22,2038,16.53914645,9.427641396,-7.899641373,11.34981053
23,2039,16.31192224,5.167492364,2.537886664,10.73362193
24,2040,17.50430768,5.809923967,8.592424913,10.30212664
25,2041,8.397917143,7.17807472,4.668128477,-3.20512121
26,2042,10.52691228,2.83247044,-2.380516089,4.514098507
27,2043,5.991812791,-0.825251545,2.288549591,1.102974111
28,2044,16.07304541,-18.21758585,-0.95556002,14.75329731
29,2045,15.53087562,0.980917989,-8.46025151,2.210316145
30,2046,14.79554664,11.48788683,7.049818021,8.981013964
31,2047,8.859186051,13.75275583,-0.083629428,14.8370085
32,2048,13.21815457,11.47391612,7.813476889,-25.49219694
33,2049,7.205391404,5.085415207,2.727745171,3.076200463
34,2050,15.32723253,15.03158431,-0.467663237,-8.801522728
35,2051,21.54141724,7.944945093,-4.414259093,-4.854947074
36,2052,15.29286852,6.672301831,0.788308408,-7.796112095
37,2053,1.305839525,1.300151024,-12.22390038,8.925912322
38,2054,13.78602873,2.533090208,2.464829759,5.414545064
39,2055,16.44481013,8.159599889,2.400948849,-7.282982306
40,2056,20.32647639,6.490041407,-0.455144177,-7.774236169
41,2057,15.32787899,-4.460536474,-17.26752648,-0.734452583
42,2058,23.87359489,-4.753865127,0.733618994,7.955054443
43,2059,11.39649888,10.2678197,5.13180602,-18.89686583
44,2060,20.61966021,-3.165433757,4.669386156,-29.42032339
45,2061,21.67475002,4.949178652,-3.869240362,-4.105686071
46,2062,14.78829937,10.95488705,-4.963736567,4.390985993
47,2063,25.97115021,1.829959218,-1.54764929,-13.65683655
48,2064,18.99349846,10.06833088,-1.63437517,1.349824669
49,2065,9.761353223,11.3278788,-10.02305269,-4.601692814
50,2066,13.90825601,-4.392813131,-9.852997868,-5.795597298
51,2067,16.37757768,2.851070393,-4.817282746,-33.005341
52,2068,16.35934411,5.145258815,-1.293643132,-20.57501462
53,2069,14.8858284,10.34066841,-14.18363692,-8.190928405
54,2070,-3.837077475,8.889886989,-14.41091873,-9.474969997
55,2071,19.89208257,11.34182836,-26.19892425,-25.16539279
56,2072,13.66923817,0.591397646,-23.21147994,-27.5680632
57,2073,13.0130164,7.405579753,-22.30515431,-6.847865145
58,2074,8.299505635,1.566702068,-22.04528474,-14.88610598
59,2075,13.04968289,5.205980675,-8.147282832,-24.04049074
60,2076,16.32966768,9.065441822,-5.728711658,-7.111183935
61,2077,16.36856322,4.960445298,-22.81210508,-28.7843951
62,2078,16.71926223,-3.632681961,-15.81810838,-3.009982839
63,2079,10.05332492,6.056348831,-6.707247568,-34.85235725
64,2080,25.08928441,-18.00705682,-24.02301159,-44.9341911
65,2081,13.33818806,4.774193485,-28.41472255,-32.39092104
66,2082,14.76450097,-13.15186936,-10.40638112,-15.8524635
67,2083,18.40003097,1.897831646,-10.65236673,-15.86082723
68,2084,10.33196766,6.993932558,-15.34169375,-23.4324858
69,2085,8.474305914,7.11030806,-22.1424003,-18.81224831
70,2086,18.11971226,-0.9121329,-13.62769678,-25.56881844
71,2087,17.61220197,3.750310167,-20.04434947,-29.95605337
72,2088,28.24009872,3.133527299,-17.32857783,-26.25316852
73,2089,16.55687795,-12.85255004,-10.59854664,-29.44918304
74,2090,16.41430637,-14.53607595,-49.3846352,-13.86075182
75,2091,23.44401364,-2.85564231,-33.84789654,-21.93154465
76,2092,22.0342867,1.596256791,-25.11081225,-21.59305039
77,2093,24.83776784,-4.083944885,-22.51962283,-24.29439863
78,2094,9.555758722,-5.606228415,-13.93392524,-27.22488268
79,2095,14.95381827,-2.13465618,-14.31981153,-32.69112822
80,2096,13.97732195,0.525233655,-31.82748166,-39.77569425
81,2097,19.72373946,5.298558598,-33.30970602,-13.09484239
82,2098,21.18786111,4.946264114,-26.72539124,-18.96033074
83,2099,18.26361715,9.801759179,-22.68090935,-17.41034807
