,time,ssp_126,ssp_245,ssp_370,ssp_585
0,2016,0,0,0,0
1,2017,35.02372473,21.34045375,-0.153755068,-0.876079531
2,2018,27.94180725,-1.933357979,-8.978204955,-8.023299208
3,2019,22.38445236,11.74999844,7.160086153,-0.642386579
4,2020,31.73998061,10.74810538,-25.85141501,2.327699423
5,2021,30.50949151,0.682585015,11.89640066,-10.53342111
6,2022,23.53562347,16.06763384,5.994284067,-3.21632852
7,2023,13.1773954,5.366664248,-1.517165509,8.411404271
8,2024,3.845920208,23.66256868,0.690691328,-22.24660853
9,2025,21.73372804,23.21958104,-16.28212833,-10.63823291
10,2026,38.19435979,31.50592366,6.587016215,-10.89022179
11,2027,26.00355299,11.04847384,5.158872843,-9.565296725
12,2028,21.60829724,16.89977719,-11.37506992,0.351150468
13,2029,28.30005802,8.258944171,-5.037544096,8.876564411
14,2030,30.00403278,16.81226897,-16.21593971,8.506806572
15,2031,24.03322352,1.682424837,-14.02936327,9.650667351
16,2032,36.70505844,-5.816076639,2.790309976,-38.66485536
17,2033,24.46869783,1.01704817,0.771123198,11.98470484
18,2034,35.66829135,24.19918201,5.98065051,13.04514114
19,2035,34.66262545,2.85306795,11.92780105,8.232716875
20,2036,30.86152368,4.656030019,8.740594224,0.530826219
21,2037,44.35741325,21.30470322,-8.912360552,0.197268414
22,2038,35.66207258,20.49669495,-8.600967021,9.504743879
23,2039,17.50064134,22.44913362,3.092421787,11.5727122
24,2040,31.91001639,9.003522823,8.539938956,5.219613351
25,2041,12.44405809,17.48175374,8.126247054,-12.22754524
26,2042,14.47215518,20.24577462,-0.501606704,-4.928164097
27,2043,22.37634143,16.83992848,-6.788600778,-5.333782448
28,2044,29.18959327,-13.78891558,-8.338046924,17.225022
29,2045,28.25610922,-10.65921434,0.068705324,-2.310223433
30,2046,25.79155306,25.56622547,12.85424792,8.303203498
31,2047,2.693052737,25.88261609,-0.995659825,12.39010861
32,2048,27.44160586,23.53497533,3.510006834,-11.48075728
33,2049,18.82604535,0.825529882,-5.327789053,2.58403406
34,2050,34.20505672,31.5162511,0.036616706,2.879129031
35,2051,37.85660676,16.1262885,-0.092758143,0.437941697
36,2052,33.63144651,11.47338808,-3.745861025,-18.29870667
37,2053,8.030297452,7.378228673,-15.80834064,6.386617641
38,2054,32.88297802,4.299982728,-1.558691606,6.262067956
39,2055,32.71696475,10.71855893,3.902479231,-7.961264639
40,2056,25.1139457,16.97305151,-3.777233437,-20.76430006
41,2057,23.32478958,-2.709412081,-13.10646411,-1.465439867
42,2058,41.47583062,-25.6931385,-0.324659913,5.162954165
43,2059,6.271379013,17.21658867,5.111305919,-7.549248609
44,2060,29.8846688,4.238364452,9.587548355,-11.00531116
45,2061,40.79062345,16.51986266,0.218615794,0.268755235
46,2062,25.37934414,23.5145788,-10.89463436,8.862858996
47,2063,43.02248706,17.00467953,3.012904499,-17.76001218
48,2064,35.29850614,24.80414962,0.176596583,9.031229881
49,2065,13.97895109,21.07067108,-11.39937535,-0.303951049
50,2066,14.96757677,-5.078212464,-8.832371894,-9.404033992
51,2067,22.09874519,20.23526123,-3.572637513,-23.11734204
52,2068,28.05680473,11.56195257,1.005035328,-9.264616209
53,2069,24.817277,15.26471665,-12.02407224,-3.832969507
54,2070,-15.17058576,22.7629342,-12.06030035,-13.30263337
55,2071,34.00562478,28.66401376,-9.35251894,-17.98529684
56,2072,33.02571287,-10.32478581,-30.82834602,-15.28111844
57,2073,23.99957646,22.89622581,-30.09787015,-6.339357387
58,2074,5.38042936,9.320904925,-13.39407573,-5.016556979
59,2075,33.532436,10.94910334,-3.139601237,-18.21399001
60,2076,35.40687165,25.96102318,-3.726083852,-2.393840406
61,2077,33.34320359,17.96065296,-21.17248467,-31.07624327
62,2078,17.49191516,7.783889027,-11.00634157,5.452999279
63,2079,11.2171611,24.77499171,-4.105173461,-33.69843799
64,2080,32.32910513,-0.866205812,-18.13480843,-40.72182989
65,2081,27.21538001,10.51095108,-22.58485997,-29.35388965
66,2082,23.51334974,-8.48808029,-4.717646621,-10.73632857
67,2083,18.78221027,16.43593295,-6.131136575,-25.07647923
68,2084,17.83017309,17.79806175,-13.67764488,-13.46446859
69,2085,29.27524526,26.22252519,-12.66539407,-22.47206023
70,2086,30.9798583,8.653497674,-8.994961435,-13.58985688
71,2087,27.81675239,11.37005089,-4.459940679,-7.104783058
72,2088,45.02355594,23.8822674,-4.627163682,-22.87953846
73,2089,26.63360161,-8.726477423,-7.153684215,-17.2849849
74,2090,19.11507288,-16.67788613,-43.80129554,-10.62598662
75,2091,43.54588125,12.93517228,-20.80031215,-18.00875127
76,2092,40.02378949,1.101254945,-14.48943532,-20.04409042
77,2093,38.60709222,0.409592369,-9.60025268,-14.17778179
78,2094,2.394733051,11.0303964,-15.0824815,-15.50181976
79,2095,-0.678318025,1.507048195,-2.326213614,-25.77807911
80,2096,11.60832481,9.266052488,-24.30726917,-15.06075315
81,2097,26.68373032,22.63818662,-23.25183492,-3.481877583
82,2098,40.18608144,24.3521345,-9.899362035,-15.49661045
83,2099,30.62480054,25.70942348,-16.64505468,-17.01622882
