,time,ssp_126,ssp_245,ssp_370,ssp_585
0,2016,0,0,0,0
1,2017,18.71389337,10.68675408,-0.448666356,4.309595797
2,2018,19.91743473,2.400940043,-2.273075022,0.837026358
3,2019,16.95090861,8.709531996,2.523416182,13.38642625
4,2020,20.5171765,7.834281461,-23.0624339,14.01376438
5,2021,23.0064765,3.35024608,10.45513109,3.536307008
6,2022,14.64540724,7.875453214,13.92996354,13.14110866
7,2023,9.039756487,10.95419116,2.702797154,17.84006827
8,2024,8.057438349,23.86756897,6.566276704,-4.054133048
9,2025,20.1172494,27.63453351,-5.296720639,7.612516737
10,2026,29.37914581,23.87152862,9.423676512,11.21799182
11,2027,20.94403643,13.39667406,10.73086037,9.307258205
12,2028,25.02692093,16.379495,1.494362942,12.05410526
13,2029,21.44343731,13.94274321,7.009466374,21.59037155
14,2030,26.76279405,23.23892024,-0.615619464,24.85568424
15,2031,20.27408271,14.17196056,-2.450780621,26.40196457
16,2032,36.57526846,15.61838754,12.23017117,-6.69142292
17,2033,25.63844013,15.58994719,13.29986298,23.01677366
18,2034,27.62340257,31.5395598,17.98937586,23.78511068
19,2035,30.52108042,22.48461356,23.76702533,24.27197103
20,2036,31.97946762,22.26876232,26.910875,14.05645327
21,2037,38.10658048,34.44251849,9.436316821,33.80882413
22,2038,32.48563517,33.72019564,6.68644614,33.79982969
23,2039,30.13433503,35.36333877,17.61359791,34.90486649
24,2040,34.22350999,24.44856519,25.54416403,30.93887984
25,2041,16.7616436,31.06210931,20.74300443,16.43814857
26,2042,24.28807337,26.16169185,14.81728722,28.4344882
27,2043,22.34855706,28.007394,13.83450908,19.89494209
28,2044,35.6458925,18.72119175,11.92481024,51.81871082
29,2045,34.56057592,16.99401707,20.58493658,27.04489063
30,2046,28.39904663,41.81920239,30.94416165,42.69704509
31,2047,22.71360033,46.81710037,23.43554044,48.41539027
32,2048,37.18584773,43.62367848,34.40685903,22.61265747
33,2049,23.0007298,23.79314577,28.45451701,38.89444022
34,2050,33.68639086,49.09585493,27.60105931,39.54121302
35,2051,41.58480147,32.22735633,25.87024094,36.86565023
36,2052,36.08804684,29.50265864,31.39973807,28.46727335
37,2053,18.37220421,29.99182007,17.81983103,45.76713924
38,2054,36.52196846,35.56439068,24.66261981,48.41737271
39,2055,39.22770475,41.47491656,32.71735101,29.54954263
40,2056,34.62512741,34.13860854,30.28408372,29.45306848
41,2057,37.79482345,31.00102734,18.32103851,43.77355474
42,2058,46.66119328,25.40011281,40.60960101,60.7995383
43,2059,23.69672081,48.35612427,45.87028519,40.10382721
44,2060,37.6456274,33.25400095,46.70115086,34.55683352
45,2061,41.6747801,43.71339101,36.68269228,42.13209872
46,2062,30.36835842,48.53635011,31.38119222,66.08425048
47,2063,56.59620633,51.20065264,35.32696763,31.9355474
48,2064,40.00774456,57.2713651,41.46603273,60.66591985
49,2065,27.99453866,61.07151795,22.98506801,56.53781961
50,2066,28.7333318,28.691891,33.22616467,44.20696544
51,2067,30.37154034,48.58224538,33.78370109,26.09051104
52,2068,41.72406383,41.88300727,49.24026043,40.97178598
53,2069,30.52666328,50.21244458,31.90658414,51.00562676
54,2070,10.56763461,58.43319249,30.76234517,41.83834382
55,2071,38.59428117,64.6233926,28.08788088,40.01412119
56,2072,41.6257549,36.76712803,15.37665765,33.35992433
57,2073,32.49807958,56.58345519,21.87773002,51.71516932
58,2074,17.48561152,43.36422988,34.32666823,52.03790891
59,2075,35.09552042,51.99529078,41.5742342,30.41027358
60,2076,36.43632407,58.98134401,41.80666421,53.80249914
61,2077,39.15640357,48.72725957,26.44109937,13.58689966
62,2078,31.93487554,40.67547699,37.68544283,58.18201257
63,2079,23.34280962,60.45576959,50.3260972,24.15776121
64,2080,39.61016857,44.58471714,35.26022582,7.14605247
65,2081,41.27404173,47.44950304,16.92380222,21.96641544
66,2082,33.97481439,32.82905109,46.15138484,39.22739017
67,2083,39.97862973,63.29621417,40.43447209,28.72907774
68,2084,26.16745873,52.15907001,28.82458882,46.17538287
69,2085,30.58152589,64.1247345,30.22578931,35.27364013
70,2086,40.48707037,43.79240128,38.94132571,37.83139481
71,2087,36.60518085,47.44887468,40.21875326,37.73497693
72,2088,55.22746848,58.16648445,40.33465241,34.0809015
73,2089,32.07874928,34.44390194,47.77819485,29.69227863
74,2090,32.6040649,30.98337491,-8.807948471,47.15056661
75,2091,37.16966177,56.58334769,13.03556766,46.48202855
76,2092,41.72788633,54.15403195,30.76812351,38.7282155
77,2093,45.61328749,40.83473642,29.85232948,37.60346248
78,2094,14.71546023,47.7038642,35.54318195,40.00853609
79,2095,18.7344662,38.35724157,41.44138933,32.38130008
80,2096,24.34909569,56.59776737,15.98090861,29.27057707
81,2097,41.18034939,65.81801619,19.8628126,48.92539345
82,2098,46.1862244,70.40603452,28.91032211,42.97157479
83,2099,32.19190676,69.02958072,27.54118731,33.24685874
