,time,ssp_126,ssp_245,ssp_370,ssp_585
0,2016,0,0,0,0
1,2017,8.5763708,-3.964205452,-0.019875913,6.350043487
2,2018,12.89329435,-1.979395639,-4.902350141,-3.130745938
3,2019,15.91280944,-3.987988821,-0.921775006,5.137735763
4,2020,8.344021066,-1.992551375,-18.07368991,12.9617886
5,2021,12.02239843,-3.285327805,6.520768931,7.26099771
6,2022,15.11717943,-0.001059932,8.236709758,6.222784583
7,2023,7.586876251,2.734937943,-2.007031889,13.05075187
8,2024,2.491135554,5.246839821,5.505215875,-7.691742072
9,2025,17.05479322,10.95596446,-1.040450989,9.558292929
10,2026,14.31218011,9.875034257,6.076764151,11.14951633
11,2027,16.64164888,7.602879248,2.991261982,9.51062701
12,2028,18.81877958,4.976491266,-4.37710557,6.028305999
13,2029,20.68172844,3.869156348,6.979016723,13.1951378
14,2030,17.10326409,8.313574519,-4.978731447,19.5249187
15,2031,14.13694603,3.657396115,-1.386268215,17.19225057
16,2032,20.42091888,7.473496191,8.767935176,-13.08660385
17,2033,15.42420921,7.755397877,5.165585552,20.40385405
18,2034,19.06396278,16.33855989,8.363732485,19.05204996
19,2035,21.57852737,9.245427882,8.58343418,16.67615285
20,2036,24.79912742,10.02107091,18.94351726,11.98239557
21,2037,26.94958275,14.73897337,5.140862548,20.37583523
22,2038,23.1849937,16.92983759,0.661543541,21.81055721
23,2039,23.12931965,12.35818351,11.63977817,21.20935226
24,2040,24.25847837,13.83015153,18.6382006,21.91540477
25,2041,15.18308979,15.54803822,15.16476329,8.105906329
26,2042,17.12884171,11.74531134,7.675429983,17.55766625
27,2043,12.94571188,8.078365452,13.80765317,13.48961728
28,2044,23.51622655,-8.998959379,10.18611707,28.35588318
29,2045,23.16779717,10.32085224,3.331969834,17.80802496
30,2046,22.58021882,22.33856195,19.71867352,23.2918293
31,2047,16.54850721,25.10064525,13.52966994,30.87576016
32,2048,21.40975263,22.73965141,22.38377259,-10.05275277
33,2049,15.3996216,16.80017321,16.49648476,19.82775629
34,2050,23.50442666,27.45508169,14.04931014,10.03019602
35,2051,30.06820399,20.32195218,10.44182234,14.31021788
36,2052,23.14727673,19.27347637,15.45994899,11.15739399
37,2053,9.853195676,13.5363044,3.342839079,29.64288698
38,2054,22.02607799,15.62183494,19.06795143,25.88822831
39,2055,25.03712243,21.67265149,19.21175195,13.16251621
40,2056,29.211673,20.0183406,16.72921318,13.82936168
41,2057,24.22474759,8.573441246,-0.526605484,22.2515369
42,2058,33.01106275,8.36264321,18.87978971,31.59145573
43,2059,19.89117548,25.13097796,24.03540044,5.046420134
44,2060,29.69531214,11.50001938,24.22739615,-6.407136796
45,2061,30.51180957,20.237487,16.28380961,21.76680963
46,2062,23.58550214,26.84833828,15.49755645,30.19135739
47,2063,35.15980415,18.60693912,19.96183513,13.86264572
48,2064,27.84294964,26.17881589,19.02124203,29.4039905
49,2065,18.91729019,27.63267343,12.87150156,22.2386281
50,2066,22.68297761,12.22561585,12.33239646,25.41478454
51,2067,25.46686568,19.8010023,16.97209319,-4.477858277
52,2068,25.04909232,22.48251507,21.92439608,10.00529391
53,2069,24.25652825,28.03204579,10.32576644,24.08080416
54,2070,4.441900216,26.51705441,8.104457399,23.17118075
55,2071,28.78601974,29.3700992,-2.256884924,5.75643465
56,2072,22.51537194,17.9530869,-0.442704908,3.711149577
57,2073,21.33438279,25.21488325,2.814619098,26.87348747
58,2074,17.07359748,20.8951897,3.976659301,18.92514213
59,2075,21.55963746,23.53401905,17.51030961,8.482888407
60,2076,24.46000587,27.94209721,22.03311699,24.85230749
61,2077,24.64283356,24.32867857,3.134546157,3.029772196
62,2078,25.0398035,16.15696072,12.43362122,30.90640514
63,2079,18.12407953,27.54351724,22.9423932,-5.074625678
64,2080,33.39413389,1.500414196,6.510659019,-14.79017214
65,2081,20.45282216,24.92514641,-0.698071515,-1.673044683
66,2082,23.0002488,6.172110676,16.75699449,17.97441789
67,2083,26.48889738,22.47375539,19.49340585,16.81099782
68,2084,17.93618965,27.22235364,13.76955938,11.00623137
69,2085,15.37826476,27.05253362,9.367359656,11.69820541
70,2086,25.51388371,19.75882683,15.60202678,10.42665028
71,2087,24.77539359,24.12916647,8.56757161,6.614003785
72,2088,35.67058563,23.62402073,12.04576025,8.56763308
73,2089,23.24335847,6.647016374,19.6312691,6.661104559
74,2090,23.01526315,6.527518948,-22.63074507,22.11543671
75,2091,30.22696593,16.7234781,-5.764759747,13.23519659
76,2092,28.92663672,22.46367995,5.21065554,12.98762913
77,2093,31.34216434,18.30929876,8.741690466,11.8208266
78,2094,15.19742308,13.84680233,14.98101155,8.497275968
79,2095,20.98393198,18.09008957,16.13946739,2.117400486
80,2096,19.72605568,21.37548044,-2.379280528,-8.761517482
81,2097,25.46703216,25.69715318,-3.998400145,22.43455322
82,2098,26.73475878,26.20793476,6.060131961,16.01461951
83,2099,23.67488623,32.19953423,7.213702641,16.37381867
