,time,ssp_126,ssp_245,ssp_370,ssp_585
0,2016,0,0,0,0
1,2017,10.94623363,4.847583493,-1.206664434,0.26467259
2,2018,5.750799369,-6.1475742,-8.078417832,-4.841079737
3,2019,-0.024683849,-1.32199408,5.334502056,0.118418007
4,2020,9.563399442,-5.518617043,-7.95007428,-0.009850929
5,2021,6.979192294,-9.13394356,3.165133205,-4.372341334
6,2022,8.70372978,-4.956801923,1.52043184,-5.939001207
7,2023,1.060633399,-5.89241765,-0.88630712,5.338217295
8,2024,-3.812268682,1.316537374,-3.409297364,-14.1160209
9,2025,5.308649608,0.957447326,-11.62771083,-12.5589194
10,2026,8.873630617,4.701165563,5.151107662,-10.83339413
11,2027,6.053737214,-6.826995908,2.823232421,-5.180263752
12,2028,5.862337388,-1.499654865,-6.368580971,-4.691059931
13,2029,5.390193652,-5.926121996,-3.898966507,7.738150351
14,2030,9.019496045,-0.156921861,-4.318171896,3.238455965
15,2031,0.218424964,-15.80350766,-7.345104375,1.328741542
16,2032,9.530042897,-14.44768917,2.522898613,-25.74277979
17,2033,2.78255386,-15.15531198,-3.619932022,1.112525876
18,2034,8.518343273,-2.832831186,0.230931598,10.34357524
19,2035,9.052197683,-11.74662316,4.549931438,6.593163107
20,2036,7.918205477,-7.72023676,-1.995676137,-2.176029207
21,2037,11.37744993,-1.092302926,-6.613349211,-11.91131798
22,2038,7.510804364,-1.226453476,-3.852710002,2.468242289
23,2039,-1.489821351,-0.565359031,-3.57087134,0.09465877
24,2040,5.935235038,-11.08564045,2.074623978,-0.769371124
25,2041,-1.597499753,-5.495279608,4.147413484,-10.3733969
26,2042,-6.477878708,-9.182300177,-2.78650131,-5.562578554
27,2043,0.14404976,-4.904549787,-8.956990003,-6.241202174
28,2044,1.323441578,-30.13127176,-6.153467093,4.218923234
29,2045,2.879012623,-16.3492867,-4.706340722,-13.67314903
30,2046,2.243543243,1.415675639,5.728466743,-3.961448834
31,2047,-5.706137561,-3.649591337,-3.386806633,-0.254574487
32,2048,-0.415579963,-6.837473215,-6.743732064,-11.54757073
33,2049,-3.076301656,-10.54396419,-8.476252932,-8.814148189
34,2050,8.885823367,-4.369521494,-9.257294638,-5.021415974
35,2051,5.848975488,-4.765684745,-4.841575234,-7.73060357
36,2052,7.46711645,-5.988948319,-15.44737211,-18.63784725
37,2053,-5.16795855,-17.01219712,-19.44102337,-7.889492428
38,2054,1.84180032,-16.64907827,-4.477842533,-2.674286856
39,2055,1.559436762,-15.78049734,-8.017905795,-14.01444957
40,2056,0.502864816,-13.97301476,-10.20449234,-17.77084262
41,2057,-4.475825389,-22.28293788,-13.26868556,-14.12026503
42,2058,6.105137808,-33.49824247,-9.827670025,-9.414908251
43,2059,-8.065083479,-14.87743438,-4.794914251,-17.86162315
44,2060,2.653173065,-26.72286106,-3.006672929,-15.95765323
45,2061,9.911395004,-10.03264223,-6.116643876,-9.598678386
46,2062,-0.095678736,-8.51779426,-13.36575084,-4.608759635
47,2063,6.964109389,-13.49788693,-10.21107729,-24.18372797
48,2064,0.609038217,-8.524046601,-8.714507993,-10.78601293
49,2065,-2.66766521,-7.772254611,-15.04677018,-13.96328858
50,2066,0.42521231,-20.4978009,-18.51284044,-16.18321628
51,2067,-4.119762192,-11.08052258,-11.99071472,-23.97114167
52,2068,-3.263644219,-9.828655681,-13.20979797,-21.16906604
53,2069,0.569859321,-15.16855727,-18.48431443,-15.62985653
54,2070,-12.58248331,-12.95061444,-21.1185529,-19.32264986
55,2071,6.439805117,-5.571773875,-12.01363766,-20.71320564
56,2072,-0.898402681,-25.33661252,-29.81408011,-31.10209036
57,2073,-2.53096764,-6.606854651,-25.64928851,-22.33874856
58,2074,-1.946435493,-17.4233571,-18.66635526,-15.68043752
59,2075,0.011832335,-19.98788747,-15.90336802,-30.94212051
60,2076,6.660500772,-5.553802718,-17.3404533,-18.49287594
61,2077,2.969723104,-8.050536378,-26.20244854,-30.59219271
62,2078,-4.427959592,-15.78471558,-19.38404983,-16.05989231
63,2079,-5.138886979,-7.989393589,-17.85978714,-36.5984451
64,2080,3.089548502,-22.59514877,-21.41166238,-42.55189385
65,2081,-1.344250281,-19.24170436,-26.29690698,-35.66910624
66,2082,3.656733958,-20.14047363,-21.4409376,-36.96291736
67,2083,-3.821981048,-19.24804856,-15.96906323,-33.89491645
68,2084,-3.836163366,-12.47446749,-27.34658086,-30.79959181
69,2085,2.393267644,-8.869967054,-22.45396296,-33.23733087
70,2086,-2.749310429,-17.25382625,-25.69348871,-37.62283478
71,2087,0.086020935,-24.3671545,-20.18682899,-29.44688255
72,2088,6.101808495,-8.765996613,-23.9113474,-32.81712183
73,2089,-0.168468289,-29.86470193,-23.01671226,-37.75713695
74,2090,-7.547654613,-35.73217963,-36.2809478,-30.91268693
75,2091,10.9609775,-17.89973296,-37.8035415,-36.15861744
76,2092,7.056318592,-27.33684166,-31.50478485,-37.60256882
77,2093,5.073757906,-24.96436829,-23.79171424,-37.63097283
78,2094,-5.728051308,-28.66888611,-25.20061623,-35.05928741
79,2095,-13.15288453,-23.94026707,-19.22074107,-43.58445505
80,2096,-7.073865656,-28.50731631,-30.51127815,-40.890915
81,2097,2.636725552,-13.87026137,-35.67991901,-27.27172036
82,2098,8.129139446,-12.99339893,-22.81965759,-34.8874703
83,2099,0.08188661,-4.253423999,-29.82393041,-43.23992491
