,time,ssp_126,ssp_245,ssp_370,ssp_585
0,2016,0,0,0,0
1,2017,3.274333974,-3.4501784,2.966816285,2.736235875
2,2018,4.444268763,2.37170504,-2.634783854,0.491648632
3,2019,3.644196934,-1.728278761,4.770492494,5.148871489
4,2020,4.350085664,-0.968561622,-6.034975619,9.793711021
5,2021,6.636905916,-3.847262504,5.390430945,7.018205297
6,2022,11.44102206,-3.416787285,9.234609015,10.68656092
7,2023,5.24938307,2.613426076,2.322797929,10.63340223
8,2024,7.994037614,4.300496432,4.431612588,1.646660914
9,2025,10.13195036,8.475662455,-1.33622985,4.716221932
10,2026,6.644032957,2.673279681,11.53682568,7.839982002
11,2027,10.56417761,5.720982268,11.81855787,10.65863637
12,2028,12.94388125,2.933133246,8.038655505,10.75984977
13,2029,8.69870326,4.332049614,9.233906976,14.85321285
14,2030,13.33529173,10.42529539,5.956989938,15.30849243
15,2031,6.407410514,4.7001557,7.942201517,16.19543404
16,2032,14.75192144,6.291286865,12.23341753,3.644140427
17,2033,12.79877724,5.364403339,11.59112237,15.69978323
18,2034,10.89886278,12.1750257,13.59906367,18.74167354
19,2035,12.4410911,7.940623158,19.44846694,21.40427702
20,2036,15.45704375,9.145348976,20.1398194,10.91367847
21,2037,15.60326705,16.02417174,11.59118046,21.10343383
22,2038,15.66402011,16.04643846,12.42067125,24.22603859
23,2039,18.09074392,12.01980087,16.9270608,19.95480953
24,2040,17.96539251,8.485563943,24.24100199,23.36620186
25,2041,11.45025396,14.31909423,19.99375568,18.11597881
26,2042,6.507148751,10.82762951,15.66289929,26.24567318
27,2043,8.908762361,11.94828444,16.29289653,18.8984069
28,2044,16.44113177,7.079891381,13.90846827,30.03594622
29,2045,14.8963424,10.15589006,19.41864808,23.10208105
30,2046,15.09622398,18.48826366,26.90799772,25.01810144
31,2047,13.19987974,24.796861,24.91334459,30.05277051
32,2048,15.86303783,21.45545255,23.24629052,23.67606425
33,2049,11.91207897,14.85852481,23.09808897,25.19384182
34,2050,16.00362279,20.44135573,21.55995462,30.48342871
35,2051,20.61226425,20.11265098,23.44042593,31.97000466
36,2052,14.54536717,16.72358264,19.16293763,29.10834358
37,2053,13.77813307,13.60192338,16.88060266,34.7184423
38,2054,12.67619228,19.17953763,23.68468025,36.15102266
39,2055,16.22163085,21.6373128,23.20407959,25.94220748
40,2056,18.58321315,13.22337778,26.00209429,32.09694346
41,2057,19.32024512,16.390786,21.89935553,32.97501667
42,2058,23.47077992,13.42327196,30.529092,39.63371276
43,2059,11.81301872,21.64520535,34.69471325,31.10064596
44,2060,16.88673277,12.21687081,34.46413028,31.05670036
45,2061,17.84628233,18.81970256,32.61913866,37.65196053
46,2062,13.21517726,25.12539476,29.58460281,42.17742454
47,2063,28.47398358,24.51758729,26.66250347,26.6228731
48,2064,17.2190579,26.97865184,33.15297812,39.23065536
49,2065,15.51652985,32.67251887,26.15014107,38.17158321
50,2066,13.50143004,18.73225633,24.35823732,36.43792401
51,2067,14.96644342,23.28514085,27.0315972,28.03902743
52,2068,18.63999861,23.8099359,35.21653431,32.15293058
53,2069,17.62282644,25.03063264,28.14249638,40.62001003
54,2070,9.467866195,27.37957932,20.70717865,35.17316582
55,2071,19.91380081,30.40547015,31.7389747,32.67444965
56,2072,17.88430438,18.61214828,11.4258719,21.78964262
57,2073,12.74306053,29.89147664,23.21737289,37.82270301
58,2074,15.04102124,22.82814592,27.9052629,37.633932
59,2075,17.79788366,25.18462404,29.95893392,18.73480208
60,2076,15.64373766,30.61913779,26.50569884,35.67907271
61,2077,17.70276138,27.91294491,20.39844723,18.18357073
62,2078,16.56115641,23.41580962,31.68170667,36.71140473
63,2079,15.76783296,31.00366243,32.82899058,19.33660948
64,2080,18.1639041,23.99737986,30.92481148,11.83779496
65,2081,13.38869401,26.45200214,17.31887589,19.89252598
66,2082,18.6551723,26.50149551,22.50806652,16.28840204
67,2083,17.67180415,27.32041997,32.88049668,21.96989999
68,2084,11.75579157,26.70212415,12.16818574,28.79192816
69,2085,16.82103915,31.17848295,20.62524392,22.34120486
70,2086,14.26842815,27.04919348,24.65044993,21.04912606
71,2087,14.25990178,23.30108543,23.51597006,27.69286865
72,2088,23.24873523,27.25956792,21.80072911,21.73974347
73,2089,13.90823501,18.15591623,28.05427973,17.34994806
74,2090,11.19534125,17.22815432,-1.306450605,21.21304129
75,2091,18.19760169,26.99516909,-2.47099656,21.0024701
76,2092,17.23439062,26.18769657,8.891151162,16.0652299
77,2093,20.89231006,23.65699095,20.79655646,18.79049835
78,2094,8.954280921,17.44210288,18.65639099,19.78734221
79,2095,9.406412599,22.95264699,26.82348464,9.918017119
80,2096,10.56182099,20.59093225,4.072033245,7.464652271
81,2097,19.73081691,28.18214635,0.443709429,22.01507283
82,2098,19.52273691,30.83022476,17.86310222,17.61295254
83,2099,12.43774431,38.01265135,7.288530749,8.964371167
