,time,ssp_126,ssp_245,ssp_370,ssp_585
0,2016,0,0,0,0
1,2017,-2.961771307,-8.341890578,-0.994315048,2.968323959
2,2018,0.46876538,2.244516849,-6.059762054,-4.904761075
3,2019,3.874558644,-6.997858128,-1.263097886,1.310426354
4,2020,-2.267839659,-4.013098219,-7.44108107,8.427449955
5,2021,0.207626774,-2.447194548,2.84829813,5.781176078
6,2022,6.653420411,-4.592544437,2.905748625,3.353351078
7,2023,2.691621847,2.023769202,-0.967799303,9.295096135
8,2024,5.100030234,-1.381842301,2.499159354,-0.113321982
9,2025,6.557800767,3.784775075,-0.703494365,2.447941169
10,2026,0.861332248,2.053907315,6.148355153,5.096373225
11,2027,6.548470159,5.002316538,1.354023542,8.226018025
12,2028,8.540955158,0.467989862,4.191354259,6.83883212
13,2029,7.604556319,2.224771017,5.746008923,9.905944408
14,2030,5.643578664,3.281780032,0.871508303,13.13730156
15,2031,2.537270104,1.618878234,2.528751335,11.0944997
16,2032,7.462885339,4.335144842,7.615201688,-3.807097246
17,2033,8.041201851,2.589421031,1.215558956,14.23600692
18,2034,5.961407008,7.694036273,5.925019304,14.46739435
19,2035,8.452121393,4.607459494,6.016938995,14.88505065
20,2036,11.40099132,6.347256252,13.81684811,9.347397243
21,2037,11.32355178,8.328609971,4.69534004,13.01839847
22,2038,8.691566316,10.28875975,6.424870547,16.61664786
23,2039,12.1544226,4.079190065,8.693089517,14.24882844
24,2040,10.28931453,7.09973463,14.98442278,14.70812073
25,2041,5.795602007,9.89266568,14.57401423,10.06691705
26,2042,4.098567493,8.543371868,6.478648193,15.1918784
27,2043,1.738727235,8.07359647,13.4276714,9.813916086
28,2044,8.075109969,-0.2914905,10.10154745,18.31916996
29,2045,9.051550443,9.093251748,6.863114268,12.37018481
30,2046,9.901639705,14.85758786,15.759258,15.70573472
31,2047,6.66439775,17.24611508,12.76024924,21.99248779
32,2048,6.434553661,13.21938438,16.27269451,3.462893296
33,2049,6.46344595,13.85817419,13.98642367,12.9794943
34,2050,10.11188521,17.17674185,7.472982355,15.14894078
35,2051,12.94756047,14.65657132,11.97712666,11.80824005
36,2052,8.809627751,12.7732132,7.617458766,7.779354492
37,2053,8.268436666,8.729718747,5.957625801,18.63185198
38,2054,8.071200687,10.13787785,16.97228641,18.06600666
39,2055,8.602546549,14.47425492,14.01948111,9.798584097
40,2056,14.80102676,11.21976428,12.20940235,11.52344742
41,2057,9.781398359,9.646322403,4.606102807,10.43553057
42,2058,14.97147582,4.675029848,10.75050223,22.13969583
43,2059,9.409018067,14.15986763,16.85568707,3.444720832
44,2060,13.72306934,5.038300761,16.94260108,-1.027014374
45,2061,14.90652451,12.29368122,13.47243339,11.13146946
46,2062,11.31781742,16.89800182,10.04408856,19.28218271
47,2063,17.53136293,11.46785522,12.72424217,6.549541611
48,2064,10.75967886,15.24725578,13.61604285,15.92797793
49,2065,10.09770757,18.50016125,15.95866454,12.76966024
50,2066,10.16782832,9.800932852,5.85891807,12.10826131
51,2067,10.70200827,11.95094273,12.40083504,-5.520163889
52,2068,9.88745498,17.51842836,13.32833514,4.95886773
53,2069,13.35404055,16.64924249,7.486941274,11.98575148
54,2070,3.872697849,15.86724713,-2.768043773,9.962396894
55,2071,13.82863865,18.34889423,9.042823627,-0.674738877
56,2072,9.460689448,10.95725466,-5.646857343,-7.141396236
57,2073,7.3474067,16.36145967,5.120277256,12.77986098
58,2074,10.94345674,15.53163897,3.034241957,5.192916937
59,2075,7.60444482,13.13994206,8.679777416,-6.942689386
60,2076,9.707672863,16.82242158,9.982923748,7.787910178
61,2077,9.758332304,17.28686823,-0.426540745,-6.238996121
62,2078,10.87399538,11.01649915,6.288946365,13.47957238
63,2079,8.590734761,17.78833432,8.013387914,-10.24102
64,2080,16.59150098,4.467566968,5.986375957,-12.2391758
65,2081,4.823878315,17.16366977,1.02373451,-4.741882973
66,2082,11.94811212,10.86261181,2.406772911,-8.51789732
67,2083,10.3435221,10.58208833,10.58834115,2.983212775
68,2084,5.476975984,16.58280739,-0.679121561,-0.787138372
69,2085,9.996818945,14.64079975,-3.234031932,-0.541773563
70,2086,9.815977358,13.68907589,2.537456017,-5.064696742
71,2087,9.513867414,12.62490619,-2.638079195,-3.043204343
72,2088,16.70978255,13.18621746,-1.036202293,-3.073270293
73,2089,8.983868537,6.124851648,6.218179458,-8.328335469
74,2090,7.449517446,6.789380298,-16.09297258,-0.681432686
75,2091,14.0959637,7.605994023,-17.89925358,-2.064138352
76,2092,13.17646355,13.4428012,-11.12500634,-8.044930177
77,2093,14.48381633,11.22190608,-0.078508554,-5.663391972
78,2094,5.63816451,2.027822174,3.543190699,-5.006464424
79,2095,9.764084379,11.13550961,3.896285904,-16.37363464
80,2096,5.676642008,7.976700914,-11.94664603,-19.26036086
81,2097,12.31083049,12.74414042,-18.3864177,-2.726133001
82,2098,11.04781692,12.54536119,-2.304917309,-7.968114007
83,2099,7.631539893,21.68673197,-9.717954351,-13.29305322
