,time,ssp_126,ssp_245,ssp_370,ssp_585
0,2016,0,0,0,0
1,2017,22.71624306,29.26009565,-0.248353896,-6.064220702
2,2018,15.20509249,1.955265016,-8.913436732,-7.31405538
3,2019,14.94507375,14.22622617,-1.197682124,-2.432289878
4,2020,19.23832241,15.66872303,-20.7335647,-1.924907321
5,2021,20.31741792,12.9651353,6.842142999,-5.405647936
6,2022,13.39649721,18.14573796,5.636610704,8.021979375
7,2023,10.01799468,15.27032523,-3.405067943,4.231259973
8,2024,4.927928097,27.60245303,3.22665026,-6.389390485
9,2025,14.939995,30.27562122,-7.283849773,-1.580467443
10,2026,23.92984587,35.94760569,0.586649169,-3.317138664
11,2027,18.85022582,20.18285431,2.61874214,-3.915238414
12,2028,16.51751134,23.73310937,-2.815451427,4.735954525
13,2029,20.3072015,19.29740169,-2.139042404,10.65920679
14,2030,19.68299246,25.75205643,-8.212245282,15.31124515
15,2031,19.91588579,22.98406617,-8.401424166,19.18562221
16,2032,24.71988591,12.67727614,1.633007521,-11.10372573
17,2033,20.55463808,17.88824072,6.396858633,12.66121422
18,2034,25.07249263,32.15494328,5.097869602,14.39350816
19,2035,20.115328,21.64099984,8.780929977,12.93240019
20,2036,22.77652125,24.57537174,7.878237166,11.51573761
21,2037,29.7350304,30.12078305,0.031237519,17.93219456
22,2038,25.22947257,31.23784231,0.499201771,19.75170878
23,2039,21.46772117,28.87012614,7.12342271,21.42076652
24,2040,27.86539742,26.82577169,9.085608282,17.88649727
25,2041,15.07181622,31.61689043,6.095517712,3.883919301
26,2042,16.17701476,34.41625709,6.244836606,9.772769564
27,2043,22.88158111,32.00740703,5.07550463,8.977232662
28,2044,28.28941179,23.88371382,-3.233879095,26.18091013
29,2045,24.76410999,10.33674534,7.345453881,15.76888207
30,2046,24.03558954,38.61944038,10.0878925,18.12257924
31,2047,13.3585802,38.53721816,6.242749163,23.97878708
32,2048,26.56579358,42.01914911,9.11469372,14.30212424
33,2049,20.29051635,16.11859048,7.64914492,20.84822791
34,2050,27.26848297,47.84056133,9.930717958,23.06389561
35,2051,29.90849249,35.73190177,9.354719041,23.54634151
36,2052,25.33566551,31.00043944,8.512446981,14.37957284
37,2053,14.69008636,36.90725959,8.333522537,24.4593406
38,2054,28.54319872,31.84368137,2.891446805,23.91809688
39,2055,29.82007521,29.89684096,10.13324265,19.11555397
40,2056,21.66395365,36.14120098,9.932336691,13.33635669
41,2057,26.81910482,27.8629645,7.429422556,23.663246
42,2058,34.34795331,22.27347269,11.03834353,23.86904537
43,2059,18.35326979,43.82859331,11.47149048,27.65702315
44,2060,26.73029057,43.08229896,13.11437103,20.56188611
45,2061,30.99627077,42.00521402,11.07058698,25.11923725
46,2062,27.7280674,46.11504742,8.803319442,27.17348197
47,2063,33.32385104,44.96902748,11.25694764,19.04199354
48,2064,29.39166385,45.13293455,11.21458212,27.32029499
49,2065,19.62767183,39.95291977,10.88759339,24.37536685
50,2066,17.26129543,33.97335746,10.91337932,23.84801839
51,2067,27.71884494,44.28811949,9.752354653,26.05406119
52,2068,30.1789357,39.77604369,12.82084293,24.48615447
53,2069,28.22814959,39.3616912,12.42715626,25.27479503
54,2070,5.535652879,45.64010822,13.58739133,26.71477492
55,2071,27.60387525,45.53557266,13.29189585,24.12115216
56,2072,31.02991992,27.54107395,3.902524396,29.2035108
57,2073,27.69609209,38.87476108,7.524097527,27.19199747
58,2074,11.49572089,40.35712965,12.28937913,29.21338802
59,2075,31.15707954,41.86648953,12.79942996,28.94018838
60,2076,27.85388987,45.70813101,13.43076737,27.75660907
61,2077,30.42067733,45.87562357,12.01949092,22.76263089
62,2078,21.4296779,40.36348611,12.61141409,30.45367063
63,2079,19.69492146,46.59720562,14.25152327,23.07283725
64,2080,27.30650655,41.26252827,12.63823755,26.53146686
65,2081,25.42290366,43.38688284,9.376704423,17.53372391
66,2082,26.18960782,31.03877424,13.29819233,30.60098344
67,2083,26.07053196,47.68641604,13.48205446,22.79677
68,2084,24.85111255,42.54185333,12.84951581,28.78572125
69,2085,25.91007057,47.25342609,16.05469279,27.29039568
70,2086,29.09971327,39.36086394,13.38948733,31.51575005
71,2087,26.43522185,45.84169288,16.69009076,32.05773023
72,2088,33.32880262,50.78733303,15.84459972,27.44389743
73,2089,26.57841505,37.42728087,14.60761905,29.72513009
74,2090,25.14798437,31.89855776,11.234177,29.91955459
75,2091,31.98708288,48.17806096,11.30706852,30.9460826
76,2092,31.12336348,42.07063021,13.58511195,28.45403954
77,2093,30.41687513,45.01638415,15.48094016,30.95602758
78,2094,12.1124204,46.45464954,10.95886323,31.06996653
79,2095,16.78587864,38.12771143,16.38555061,33.05182674
80,2096,20.53310045,49.67890411,12.89360835,34.21671642
81,2097,26.5110764,46.77248727,13.83993854,34.32751941
82,2098,29.66931009,51.3569694,15.70716713,31.45476916
83,2099,28.72827524,48.53039447,15.18148279,32.70056688
