,time,ssp_126,ssp_245,ssp_370,ssp_585
0,2016,0,0,0,0
1,2017,16.6287277,23.61280013,-2.864154498,2.181182915
2,2018,13.70598807,3.725177142,-5.033403333,1.094831131
3,2019,10.0215165,16.92666645,-1.654639481,8.074671695
4,2020,16.74545747,13.0498042,-17.4777547,5.08934899
5,2021,20.19851427,14.86470859,6.213592998,2.462728264
6,2022,12.09105245,15.12833701,8.66238811,14.86396693
7,2023,4.351655909,17.30603355,0.937267676,11.77517522
8,2024,1.25094361,29.47583821,5.850529326,0.18260798
9,2025,14.4482636,29.35273251,-5.009381899,9.390750903
10,2026,23.43224959,28.3291841,6.31367345,10.13200857
11,2027,15.86771495,18.61848492,7.769236691,6.782627756
12,2028,18.15691393,24.47160319,-0.276935945,10.53856932
13,2029,15.45726431,20.80887051,2.868357666,18.37317912
14,2030,21.26501464,29.6601547,0.969966284,23.35380175
15,2031,17.00803715,24.0869698,-3.564708262,26.25631698
16,2032,27.9035882,22.488959,6.0738279,1.784032877
17,2033,22.85519286,24.24641846,13.58653035,18.2050162
18,2034,24.66046288,37.18425523,15.35683204,21.8528713
19,2035,20.50764368,29.70551842,17.33829597,22.8995033
20,2036,26.49472991,32.40165039,17.37448878,18.50519755
21,2037,31.57805546,33.90275442,7.997474766,29.94812497
22,2038,24.59385261,36.36129464,8.910386278,30.07593776
23,2039,27.37000491,42.72825101,16.78140727,36.11856905
24,2040,32.180646,31.7001368,20.1172933,30.68193835
25,2041,16.95685128,36.55010724,18.56147577,17.11411778
26,2042,23.1509128,33.43057461,16.25379424,26.13764553
27,2043,22.72854959,38.14766713,13.78774294,22.59486746
28,2044,33.71455215,32.44332751,9.884075738,47.7615536
29,2045,29.11127896,24.87202362,20.15371788,29.64752894
30,2046,26.85474999,48.34211237,23.84607537,40.31293332
31,2047,19.88712491,46.52855594,19.47168521,47.92499759
32,2048,31.67113359,47.19469239,26.65421018,28.68140831
33,2049,24.14270383,30.29938704,27.18625959,45.37425031
34,2050,29.55289134,54.81945224,26.69957469,47.13053834
35,2051,34.34935576,41.31528962,27.50728771,47.56741628
36,2052,32.42656997,39.62637046,29.87384704,37.2415375
37,2053,15.06057604,48.0513704,21.65042427,49.06134325
38,2054,33.78153672,43.01162571,21.24980295,49.46397593
39,2055,35.46706395,45.179898,31.37946754,45.65910224
40,2056,27.08320922,46.76978331,30.67739569,40.83254756
41,2057,29.85245095,41.99859193,27.27528037,50.24347996
42,2058,39.29118148,41.73351226,36.0594248,62.18024927
43,2059,27.41012045,58.20848767,39.33302169,63.55865086
44,2060,32.89153019,49.00255734,39.38519212,49.12526626
45,2061,35.70547096,57.79072992,36.04677302,60.7000302
46,2062,34.13180946,60.60520337,33.34234344,68.20525523
47,2063,42.7243467,60.43890054,34.58686151,55.79217031
48,2064,36.18993507,61.64493129,38.11090671,65.45367994
49,2065,26.71209581,63.32877427,28.99687491,68.03309516
50,2066,26.18154807,50.01914173,36.71287985,63.54883283
51,2067,32.8626339,57.22079447,37.30431147,66.49586864
52,2068,37.56445663,56.05719008,43.66452556,63.15782377
53,2069,30.06205526,58.26261772,41.47873671,62.77023478
54,2070,15.24389886,64.93774419,45.6067144,66.78964279
55,2071,30.01206342,66.89153167,41.44090039,70.45734513
56,2072,39.94019653,51.32464257,32.98101886,71.11883538
57,2073,33.74372839,59.03464871,34.40284214,72.11765835
58,2074,14.8554284,56.79805811,50.28152449,82.62702045
59,2075,34.18988298,58.62243202,48.08583671,79.00734323
60,2076,29.84281531,64.46463677,49.75055875,78.70013561
61,2077,34.38839188,60.52306783,44.32914507,66.29633364
62,2078,29.12830022,59.46470058,49.89211171,79.57700545
63,2079,20.40812885,65.62239179,54.95861736,68.39184659
64,2080,32.69666807,59.33021171,51.50022016,71.8084905
65,2081,34.80424451,57.17144661,43.87580233,69.22308336
66,2082,35.26071974,53.51051891,53.87831159,84.69600347
67,2083,35.72582575,73.49532634,53.290861,72.54954495
68,2084,27.08298155,63.64524314,53.52875818,83.87057643
69,2085,26.86958615,71.13638537,58.11636247,82.91438044
70,2086,34.26906174,55.03247933,52.70340574,84.498551
71,2087,32.28380257,64.14936037,59.52724572,88.53840023
72,2088,38.44708421,71.67372712,57.628305,81.90163182
73,2089,27.24842731,55.76806341,57.73530712,88.64715167
74,2090,30.72416015,48.91268049,50.6529341,90.9227677
75,2091,32.73824508,73.04740205,55.76104732,90.84291333
76,2092,34.87071136,69.6602433,55.73648552,88.25443972
77,2093,34.37421691,62.49650118,61.0681393,91.45287404
78,2094,12.30488698,69.95854757,57.35676396,88.86663018
79,2095,22.05154053,59.87547184,60.19723441,95.03178178
80,2096,21.96130736,75.28773886,54.08018602,92.99250605
81,2097,33.10684039,72.31484496,60.80282187,95.61017091
82,2098,33.47303263,76.23336668,61.40064031,93.70732396
83,2099,29.44438957,76.4009413,62.76400198,94.11404173
