,time,ssp_126,ssp_245,ssp_370,ssp_585
0,2016,0,0,0,0
1,2017,8.525912734,6.359173048,1.618919151,4.97085808
2,2018,9.02214377,-1.69109172,-1.363818463,0.24115194
3,2019,8.141659659,3.940626676,0.146173564,5.530913631
4,2020,6.993500736,-0.915238522,-10.12254041,6.323264882
5,2021,10.04742925,2.808013061,3.670410048,6.910526094
6,2022,11.09806921,6.114912426,6.202076926,12.51321859
7,2023,6.116370455,5.719761201,-0.385121121,8.525340285
8,2024,3.091212465,11.25859865,5.255847971,0.294140941
9,2025,11.33502152,10.56410648,0.420284374,10.36736591
10,2026,10.57091827,9.373846241,3.17128282,10.84109172
11,2027,12.08988769,8.496778072,5.418931138,8.108798998
12,2028,11.54387035,8.850198592,1.445910023,5.037853485
13,2029,12.93747055,7.496315152,4.058477726,11.02821301
14,2030,13.92845585,12.9904469,2.479714035,16.67548646
15,2031,11.69431649,8.647250727,2.407019387,17.26496235
16,2032,12.37400692,7.78418092,6.194655193,3.883311895
17,2033,12.9791097,12.05513006,9.771154431,15.54571931
18,2034,14.39653645,16.82730438,8.000953056,17.24629706
19,2035,11.96265737,11.70468947,7.359575642,14.27437659
20,2036,15.9919884,15.92317799,10.16224405,14.6669936
21,2037,19.96037165,13.88636233,8.416847102,17.85515323
22,2038,16.62444825,15.46199508,6.146063605,19.92641028
23,2039,16.11409688,15.68127187,11.76502526,20.59556936
24,2040,18.97684752,15.51408243,12.63529122,23.48215461
25,2041,14.93441168,16.05250537,13.24964715,12.52463242
26,2042,14.36105525,17.61925613,11.5464168,20.32414929
27,2043,15.85051754,17.06782222,13.29376305,17.77135926
28,2044,19.2878198,13.1380083,8.944236623,26.7871302
29,2045,18.39784764,12.49335412,13.39373498,24.66057243
30,2046,17.59624024,24.34794885,14.7040618,22.02072197
31,2047,14.68452873,22.42747201,14.5680154,30.1651486
32,2048,18.70953613,23.46319014,15.25607632,16.47598121
33,2049,18.09955181,16.68123671,15.26912099,29.17329671
34,2050,19.58262291,25.74512659,18.79358864,29.629018
35,2051,20.9923178,22.41481842,16.74309322,32.49666154
36,2052,16.37109924,22.15478143,16.71076119,28.64978165
37,2053,13.16193059,25.16701201,18.05205082,33.86091362
38,2054,18.36907234,21.1210527,15.8210773,32.76222079
39,2055,21.07095703,20.97419862,18.04931315,31.0571459
40,2056,18.29595035,25.19208423,20.2715449,30.66319066
41,2057,18.92804282,19.27969037,19.24665668,37.29968694
42,2058,24.36310518,23.42183603,22.38102627,36.829469
43,2059,18.48367094,29.16374927,24.70920054,43.89465612
44,2060,20.20993324,26.1309736,23.42514921,39.28554136
45,2061,20.95328557,27.57088389,23.07900741,42.46638031
46,2062,20.96596637,29.10275117,23.40079211,40.46135117
47,2063,23.65942211,32.04417937,25.57043872,38.36277623
48,2064,21.46451131,29.97249026,24.29396446,42.45360595
49,2065,19.34693929,27.68897682,26.4367907,41.90681559
50,2066,19.09284111,29.26033003,25.50601934,46.67790031
51,2067,22.15905949,28.61165955,24.29952101,50.61225048
52,2068,20.32879259,28.97991585,28.68421557,43.09171364
53,2069,21.36831408,29.23124193,31.62446144,45.44126666
54,2070,12.36905885,30.07021911,29.80548998,49.38616933
55,2071,19.30910123,30.92582491,30.20655683,48.32153291
56,2072,22.22265885,28.238587,27.42800764,53.09319188
57,2073,20.85091611,27.14283643,28.71432689,51.16273111
58,2074,15.12968775,31.96488215,35.10021184,55.50391603
59,2075,21.84274877,28.93167897,32.47043002,54.84458121
60,2076,17.4544676,32.3666152,34.28788896,49.85095123
61,2077,19.20792549,32.58111379,34.99548391,51.00020451
62,2078,18.65120372,34.00471087,34.15086531,52.43486382
63,2079,14.51382518,34.99163501,37.56219752,54.81896758
64,2080,18.43886222,33.62832638,37.44115566,54.76643373
65,2081,16.66605397,32.34540764,33.2905724,47.75469906
66,2082,21.36593704,30.95967257,36.62240021,54.75453584
67,2083,22.01344587,35.15200636,38.20754743,52.55985409
68,2084,19.00886065,32.24752671,36.36490432,56.71806331
69,2085,16.64738486,34.5276323,42.17922649,52.25354447
70,2086,17.95338906,33.12533591,38.14179416,61.24565514
71,2087,17.00722798,34.13212826,41.34890242,62.02581424
72,2088,20.27308238,35.62747219,38.99028657,57.17336224
73,2089,17.38658384,33.58323587,38.70911602,60.97265167
74,2090,16.86604749,31.44331141,40.41918959,60.30285089
75,2091,21.80385121,35.22632945,37.43007666,61.41525191
76,2092,20.25297333,33.42721499,40.51255725,57.50780276
77,2093,18.67525938,38.32897492,43.27521841,61.62124003
78,2094,12.6009128,35.79218943,38.2575975,62.10853771
79,2095,14.80705822,31.17616707,43.01695856,64.69389547
80,2096,15.10952483,37.92944408,41.69274549,63.59647522
81,2097,15.50203951,35.26159041,43.2452211,63.05330563
82,2098,16.85024405,37.5416909,45.21868734,61.58620715
83,2099,16.59824961,38.19171046,43.81172199,60.7874953
