,veg,scenario,media,media_up,media_down,data_max,data_min
0,rice,default,33.30339154,42.27333531,22.45109696,66.08425048,-6.69142292
1,rice,co2,3.057901887,12.8993875,-6.12416729,31.69055735,-32.80711935
2,rice,precipitation,21.57201024,30.62674662,15.60196053,42.17742454,0
3,rice,temperature,49.85372795,74.08719262,23.24022714,95.61017091,0
4,maize,default,-7.327015834,2.391783082,-15.49791278,17.225022,-40.72182989
5,maize,co2,-12.46629476,-0.899531171,-28.17896567,16.50279709,-54.05153941
6,maize,precipitation,-14.06523523,-4.670484857,-30.64404248,10.34357524,-43.58445505
7,maize,temperature,23.30958938,27.49717886,13.23536757,34.32751941,-11.10372573
8,soybean,default,13.17882701,21.34871661,6.649329365,31.59145573,-14.79017214
9,soybean,co2,-6.321731221,5.429003737,-20.82952356,14.8370085,-44.9341911
10,soybean,precipitation,6.694186866,12.77221043,-2.805400836,22.13969583,-19.26036086
11,soybean,temperature,37.06457797,52.69318854,17.10359441,64.69389547,0
,,,,,,,
,,,,,,,
,,co2,precipitation,temperature,,,
,rice,-30.24548965,-11.73138129,16.55033641,,,
,maize,-5.139278927,-6.7382194,30.63660521,,,
,soybean,-19.50055823,-6.48464014,23.88575097,,,
