yield_change,time,rice,maize,soybean,,trend,min,max,min,max
0,2015,4.527088732,9.570340833,3.046754326,,>> rice,-1,3,-0.007259071,2.4567652
1,2016,0.225291481,10.17464827,-1.912961736,,>> maize,-1,0,-0.93509895,-0.081452824
2,2017,4.823261473,15.66832209,2.69357802,,>> soybean,-1,1,-0.1728033,0.84831214
3,2018,-1.598592633,1.105188294,-6.431929134,,,,,,
4,2019,10.06982624,10.3102771,0.800480024,,,,,,
5,2020,12.17373741,16.15273558,8.498991999,,,,,,
6,2021,1.85944236,-0.887515934,3.74013343,,,,,,
7,2022,15.04631767,12.04437565,5.808732455,,,,,,
8,2023,14.29706495,17.44877476,7.603292366,,,,,,
9,2024,-2.840860172,-6.107686657,-6.209730615,,,,,,
10,2025,9.562194893,6.179429004,7.317367519,,,,,,
11,2026,11.05839515,7.549546551,8.261428318,,,,,,
12,2027,7.733455851,0.278506601,5.864936427,,,,,,
13,2028,12.95273582,11.46729136,5.31596568,,,,,,
14,2029,17.28302369,16.01598964,7.440955609,,,,,,
15,2030,20.16596581,16.28236879,13.32568569,,,,,,
16,2031,20.96881495,16.33688187,11.02042269,,,,,,
17,2032,-2.905902652,-18.55563677,-9.519793408,,,,,,
18,2033,19.87845354,19.5483367,14.42368215,,,,,,
19,2034,21.75219572,20.53607297,13.46438556,,,,,,
20,2035,23.75950938,18.55981541,12.88925264,,,,,,
21,2036,13.0605021,11.62228602,9.299993639,,,,,,
22,2037,30.62000985,10.78119746,16.32825858,,,,,,
23,2038,29.44630494,16.87043314,16.2648492,,,,,,
24,2039,28.5264993,17.99424098,14.57386161,,,,,,
25,2040,26.56248202,12.8671292,16.16155969,,,,,,
26,2041,18.0132526,3.316287195,7.471744484,,,,,,
27,2042,26.60731637,8.249842317,15.71998314,,,,,,
28,2043,16.86295384,3.688314527,10.44475228,,,,,,
29,2044,43.86020888,22.78963767,20.88135748,,,,,,
30,2045,26.45451226,8.325461844,15.47694678,,,,,,
31,2046,36.50376809,14.38027967,16.34765098,,,,,,
32,2047,44.54988748,19.8770935,23.7694511,,,,,,
33,2048,20.19789085,-3.833153527,-6.084002347,,,,,,
34,2049,35.59063372,12.16368465,16.35384852,,,,,,
35,2050,36.52643837,12.53323352,10.31006603,,,,,,
36,2051,35.01027355,9.102623165,13.38907631,,,,,,
37,2052,33.6760142,-0.3938691,12.05210048,,,,,,
38,2053,42.28060971,15.74246369,23.42741528,,,,,,
39,2054,43.22251395,14.05342945,19.55110739,,,,,,
40,2055,32.13707077,3.030855686,11.68054787,,,,,,
41,2056,30.71539438,-10.57943941,13.00288724,,,,,,
42,2057,40.57035365,6.273825632,18.41024333,,,,,,
43,2058,55.73343336,14.0085664,25.19441756,,,,,,
44,2059,40.02637144,2.478539006,4.955015507,,,,,,
45,2060,30.54224275,-4.336536473,-7.662257604,,,,,,
46,2061,47.32824081,11.01236424,20.37789356,,,,,,
47,2062,57.78428665,14.4871176,23.04169156,,,,,,
48,2063,41.38444667,-1.978762903,16.1497681,,,,,,
49,2064,53.97622007,15.06926729,23.20529546,,,,,,
50,2065,56.18195906,8.091277455,18.08470708,,,,,,
51,2066,41.32136085,0.280291902,21.71713924,,,,,,
52,2067,28.47030972,-12.59154101,-0.306370751,,,,,,
53,2068,42.58082626,-0.210436232,11.52724576,,,,,,
54,2069,49.22956546,6.259180556,21.04160979,,,,,,
55,2070,38.83932407,-4.99960385,18.15324147,,,,,,
56,2071,40.79574939,-8.502743101,8.320891448,,,,,,
57,2072,33.76023804,-8.144364966,3.380545413,,,,,,
58,2073,49.47739279,4.247704037,22.69232291,,,,,,
59,2074,49.5121815,2.924443173,16.14534631,,,,,,
60,2075,34.4470751,-9.299931609,8.260173045,,,,,,
61,2076,52.13432984,5.234385202,19.2394,,,,,,
62,2077,22.11511398,-17.15676397,4.576273563,,,,,,
63,2078,52.91007253,11.53458923,24.53668428,,,,,,
64,2079,27.79681715,-21.00915456,-0.868043979,,,,,,
65,2080,17.35508279,-22.79978414,-8.262513878,,,,,,
66,2081,36.2366782,-15.38580309,8.631335223,,,,,,
67,2082,41.13811418,-1.945759364,14.63998051,,,,,,
68,2083,34.63753987,-10.03087844,16.18321911,,,,,,
69,2084,47.85202114,-4.99161207,10.32325114,,,,,,
70,2085,39.5032234,-11.36225358,9.401050376,,,,,,
71,2086,39.16197992,-4.404290209,10.85570855,,,,,,
72,2087,42.38963469,2.156915431,7.045585975,,,,,,
73,2088,30.06755468,-16.18465017,6.011203784,,,,,,
74,2089,36.18178909,-5.494768368,8.608849396,,,,,,
75,2090,51.93051894,-1.522111958,20.02361519,,,,,,
76,2091,54.42233829,-5.000562265,16.1270471,,,,,,
77,2092,39.518907,-9.900952347,10.78973736,,,,,,
78,2093,37.2315447,-4.147297539,9.979034885,,,,,,
79,2094,43.64886213,-3.671226983,11.80171996,,,,,,
80,2095,38.4999432,-15.13297676,3.956174938,,,,,,
81,2096,29.73946711,-7.343110753,-9.793553344,,,,,,
82,2097,45.16619968,3.039704874,16.30626523,,,,,,
83,2098,44.16146545,-6.715420852,12.73307278,,,,,,
84,2099,39.26304719,-0.667359682,13.2580754,,,,,,
,,rice,maize,soybean,,,,,,
,max,57.78428665,22.78963767,25.19441756,,,,,,
,min,-2.905902652,-22.79978414,-9.793553344,,,,,,
