,time,rice,maize,soybean
0,2015,,,0.0
1,2016,0.0,0.0,-6.388999187774447
2,2017,5.500619742165452,78.73051662394708,-11.040166121708834
3,2018,0.9541935411720812,3.883620940483981,-6.475260983523541
4,2019,12.702619049423763,33.26961520655335,-15.968217761644357
5,2020,-9.921537415843378,69.33175764923301,-9.786750050428477
6,2021,-33.068827196346064,-63.12759739171341,-13.600848601731691
7,2022,2.5756841576013993,69.12852792008907,-14.926540426199997
8,2023,-0.010162144999636613,45.0596719285096,-21.884630695877416
9,2024,15.226375298236,,-24.774445431622322
10,2025,-17.03977242136481,84.26010291412294,-8.608013177426175
11,2026,2.1740585614437578,74.35692037081961,-15.403290513782238
12,2027,-85.81086690976898,,-13.257587888381591
13,2028,-1.4990300979928946,,3.6146847076313535
14,2029,6.813219562999392,,-11.652416765225446
15,2030,14.640955425349327,26.842680910069994,-15.889665727951341
16,2031,13.173203424989707,61.51517272269882,-16.795146852011467
17,2032,-56.870114159573234,-61.750581282493854,-21.788289862050004
18,2033,33.12153410227354,17.07190973611839,1.5377275420276484
19,2034,35.678362350387985,15.712769216737922,-17.7171470314305
20,2035,31.02128988572333,,-17.40294290676716
21,2036,38.60020000930831,,-7.974605106062252
22,2037,-11.089327098977497,69.13149573496835,-10.061669905381734
23,2038,-2.548308146687468,,5.18998607849627
24,2039,6.514853557550128,,-14.319192147238002
25,2040,2.758244477189349,45.46118142751004,12.071131259018689
26,2041,8.598866908227329,,-15.203724570981175
27,2042,10.389098353660655,,-10.843815916337087
28,2043,26.22119326713568,66.9354556268177,-21.736897227070017
29,2044,13.28008768226512,,-17.646017178664152
30,2045,11.39975485182361,51.711869649390444,-20.406963594047134
31,2046,5.70818232198768,,-14.734881148813484
32,2047,9.629180361997134,,-18.583948492313628
33,2048,-6.254929299219801,18.349223001527907,-5.561198647176584
34,2049,18.633624475094148,,-8.365450054265706
35,2050,-3.7316320326384447,,-15.96694270065866
36,2051,-19.89792194184157,53.37676453221994,-23.919220389542
37,2052,7.227700271776251,,-12.84735828854646
38,2053,1.0119855871492238,,0.8744269850574128
39,2054,17.698316231261504,,-4.940569778843893
40,2055,-4.226522649367069,8.271842418247447,-6.1891174141000365
41,2056,-5.119399545750229,,-7.960502725774206
42,2057,4.297168975206218,,-6.042522582395833
43,2058,15.604047707218399,,-15.986512524579085
44,2059,22.68391822375896,,-11.610573829920183
45,2060,-3.640063747977841,,-11.747800667907182
46,2061,4.646768747665053,,-12.980750251145379
47,2062,-0.5307869289567348,-17.82098145361498,3.9703937218484198
48,2063,-22.90631491400838,,-8.32016461599159
49,2064,-5.878128026543571,,2.7454085953528082
50,2065,10.058308965562999,,-17.414492761208543
51,2066,17.22250817618977,12.634615436580916,-8.188042870507974
52,2067,-2.8318709760798337,-17.330259792863643,-6.4582221743501425
53,2068,6.484746422297947,,-1.7389069371163788
54,2069,-29.684351471702502,9.5007282999319,-20.385303877502686
55,2070,8.53832076363548,8.605823916924603,-8.422392754065697
56,2071,-23.056444948592407,,-13.247022240037607
57,2072,-33.80628062443261,4.721209672771394,-17.761462741134853
58,2073,23.832541052638206,-9.893355042743893,6.690607880309463
59,2074,26.46281140543317,,-20.03717323538357
60,2075,-9.502106464444902,,-29.164523782001684
61,2076,-6.994128675824622,,-11.283723306348842
62,2077,-25.325751425172005,,-11.695669211587202
63,2078,-30.228857233775443,,1.9540536323522948
64,2079,-0.5928491807181009,,-7.368978916290726
65,2080,-7.270271657397603,,-14.396168172412652
66,2081,-2.423353441929567,,-15.025836130035824
67,2082,6.1028281660633565,,0.33678061728383346
68,2083,-22.1630191907152,,-14.531209715373231
69,2084,8.028516029679283,,-29.71631985516307
70,2085,-36.10104125203075,,-20.46009184748547
71,2086,-46.11457464796349,,-17.72568040222366
72,2087,-17.804955831061598,,-22.48913360033479
73,2088,-10.520844328412709,,3.0797396490234634
74,2089,-0.08935047222756365,,-14.151416806084807
75,2090,-9.313742413648018,,-16.57118455848202
76,2091,-28.090861682413554,,-22.405325276511743
77,2092,-43.501092019057005,,-14.954929169492425
78,2093,-19.389209385507783,,-29.528047290445826
79,2094,-7.395274450789387,,-14.573344893513973
80,2095,-41.10228227062339,,-9.508657639512673
81,2096,-40.8904402813341,,-21.08549526950851
82,2097,-36.29106590373166,,-10.759546631531565
83,2098,-9.502224664750514,,-18.313398488908785
84,2099,-71.36406888614731,,-23.762409397539333
