,time,rice,maize,soybean
0,2015,44.699233858107284,,
1,2016,63.94033615840736,7.486566378102245,1.4231874568860714
2,2017,11.967791089964743,-20.610385671491457,-12.75074066194942
3,2018,65.99990369647053,-16.923435151835,-20.93130997299365
4,2019,67.47958022545346,-37.317545079816064,-27.669215110465352
5,2020,27.260891137041472,-58.59525012100235,-10.349725553345623
6,2021,21.259879320542137,6.837081980089829,-21.165654282093183
7,2022,18.19647095071206,-12.656701829903097,-17.179343426907188
8,2023,32.62226472491751,-6.47336209254983,-11.444101060254152
9,2024,48.2082134393145,-31.891584281650125,-22.776014374514684
10,2025,58.51969369911744,,7.836296568889506
11,2026,37.16223295372805,-11.48229766596987,-27.51486005954361
12,2027,11.034356769498649,-21.349672257313824,-21.567147940844677
13,2028,71.61370048598819,,
14,2029,63.55975835689153,-61.4097617282676,-1.577530030612812
15,2030,76.81613529219624,-60.983103510074166,
16,2031,27.308104622416497,-29.065841999696794,-19.256430895714505
17,2032,-8.051504900281493,-24.269067214298566,-18.492086692458802
18,2033,63.329417682468424,,4.9467366238002946
19,2034,56.12213188530508,-41.421527428270714,-19.288523871018214
20,2035,62.30629160700717,-63.68151617111688,-39.353472880524
21,2036,28.265809174748213,-32.418252541406034,-19.394546243390266
22,2037,64.81202252290895,,
23,2038,90.57645822346902,,1.6983672685322027
24,2039,74.64795655869271,,
25,2040,74.50953628322178,,-21.77363466804692
26,2041,65.53084046747728,,
27,2042,66.80248019683893,,
28,2043,47.15497189556379,-49.98089667427546,-36.41730843590288
29,2044,40.877508835202576,,-19.61586490110283
30,2045,40.94879578936355,-0.4968970626115206,-27.396074042309497
31,2046,81.8340541773664,,-32.20207712639878
32,2047,88.43484541751342,,
33,2048,58.808504965293785,-27.83633728702889,
34,2049,102.96278221969861,,
35,2050,61.44256576111179,,
36,2051,38.31333639503304,,-45.722960692286776
37,2052,84.6488023343584,,
38,2053,68.19294284756393,,
39,2054,99.32602118638252,,
40,2055,48.708693257759826,-42.6631697980141,
41,2056,59.955375025564315,,0.3603530217461523
42,2057,85.41428974622637,,
43,2058,87.51650593745784,,
44,2059,68.74522357959603,,-38.43210444806389
45,2060,65.36700969858275,,
46,2061,92.12797190000526,,-45.73689763013255
47,2062,103.90865928919742,,
48,2063,47.19878026420189,-3.556513723662355,-44.48586483659444
49,2064,96.41425965859767,,
50,2065,89.98745216033917,,
51,2066,54.59676050868494,-26.31014427427577,-25.971014509321666
52,2067,65.68162696449971,,
53,2068,102.82631865227802,,
54,2069,32.86917370728919,,-31.147029369595113
55,2070,60.43036360272052,-40.26347588099376,-26.711141320247272
56,2071,76.14384858890135,,-13.286439096972261
57,2072,38.53661205205678,,-40.78941164895468
58,2073,108.29566696075929,-85.6606620385937,
59,2074,65.93103790553528,,
60,2075,46.9091388721336,,-39.52176044620575
61,2076,67.36583567537556,,
62,2077,72.82375225367228,,-51.36068706379017
63,2078,92.92774939904767,,
64,2079,97.4005639892133,,-36.930008948533604
65,2080,51.45630677228261,,-29.578780616853727
66,2081,55.53331631076595,,-42.376340909433345
67,2082,114.47492293908965,,
68,2083,77.22162454005922,,-53.31232949124441
69,2084,61.94552536532246,,-42.060895490301405
70,2085,63.99935255673186,,-37.98265790761483
71,2086,62.46329089282588,,-53.169043384677884
72,2087,63.2970972518488,-60.56826548192929,-40.65210880406031
73,2088,80.47349743646069,,
74,2089,61.495221999218685,,-45.05957113936368
75,2090,61.44543147609883,,-43.536255994613384
76,2091,65.47363733415324,,-50.46727681747251
77,2092,58.827680240825316,,
78,2093,47.28975412523662,,-48.905855066736486
79,2094,80.99819337561082,,
80,2095,91.67447238679549,,
81,2096,51.69690103592135,,-37.138157932992605
82,2097,50.14920779523153,,-22.06760039142353
83,2098,49.52030275380685,,-20.26224977791963
84,2099,31.747128691533938,,-38.621559269798276
